,x,mu
0,0.01,3.986
1,0.02,3.967
2,0.03,3.948
3,0.04,3.929
4,0.05,3.91
5,0.060000000000000005,3.891
6,0.06999999999999999,3.872
7,0.08,3.854
8,0.09,3.835
9,0.09999999999999999,3.816
10,0.11,3.797
11,0.12,3.778
12,0.13,3.76
13,0.14,3.741
14,0.15000000000000002,3.722
15,0.16,3.704
16,0.17,3.685
17,0.18000000000000002,3.667
18,0.19,3.648
19,0.2,3.63
20,0.21000000000000002,3.611
21,0.22,3.593
22,0.23,3.575
23,0.24000000000000002,3.556
24,0.25,3.538
25,0.26,3.52
26,0.27,3.502
27,0.28,3.484
28,0.29000000000000004,3.466
29,0.3,3.448
30,0.31,3.43
31,0.32,3.412
32,0.33,3.394
33,0.34,3.377
34,0.35000000000000003,3.359
35,0.36000000000000004,3.341
36,0.37,3.324
37,0.38,3.306
38,0.39,3.289
39,0.4,3.272
40,0.41000000000000003,3.254
41,0.42000000000000004,3.237
42,0.43,3.22
43,0.44,3.203
44,0.45,3.186
45,0.46,3.169
46,0.47000000000000003,3.153
47,0.48000000000000004,3.136
48,0.49,3.119
49,0.5,3.103
50,0.51,3.086
51,0.52,3.07
52,0.53,3.053
53,0.54,3.037
54,0.55,3.021
55,0.56,3.005
56,0.5700000000000001,2.989
57,0.5800000000000001,2.973
58,0.59,2.957
59,0.6,2.941
60,0.61,2.926
61,0.62,2.91
62,0.63,2.895
63,0.64,2.879
64,0.65,2.864
65,0.66,2.849
66,0.67,2.834
67,0.68,2.819
68,0.6900000000000001,2.804
69,0.7000000000000001,2.789
70,0.7100000000000001,2.774
71,0.72,2.759
72,0.73,2.745
73,0.74,2.73
74,0.75,2.716
75,0.76,2.702
76,0.77,2.687
77,0.78,2.673
78,0.79,2.659
79,0.8,2.645
80,0.81,2.631
81,0.8200000000000001,2.618
82,0.8300000000000001,2.604
83,0.8400000000000001,2.59
84,0.85,2.577
85,0.86,2.563
86,0.87,2.55
87,0.88,2.537
88,0.89,2.524
89,0.9,2.511
90,0.91,2.498
91,0.92,2.485
92,0.93,2.472
93,0.9400000000000001,2.459
94,0.9500000000000001,2.447
95,0.9600000000000001,2.434
96,0.97,2.422
97,0.98,2.409
98,0.99,2.397
