,x,mu
0,0.01,3.058
1,0.02,3.064
2,0.03,3.07
3,0.04,3.076
4,0.05,3.082
5,0.060000000000000005,3.088
6,0.06999999999999999,3.094
7,0.08,3.1
8,0.09,3.106
9,0.09999999999999999,3.113
10,0.11,3.119
11,0.12,3.125
12,0.13,3.132
13,0.14,3.138
14,0.15000000000000002,3.145
15,0.16,3.152
16,0.17,3.158
17,0.18000000000000002,3.165
18,0.19,3.172
19,0.2,3.179
20,0.21000000000000002,3.186
21,0.22,3.193
22,0.23,3.2
23,0.24000000000000002,3.208
24,0.25,3.215
25,0.26,3.222
26,0.27,3.23
27,0.28,3.238
28,0.29000000000000004,3.245
29,0.3,3.253
30,0.31,3.261
31,0.32,3.269
32,0.33,3.277
33,0.34,3.286
34,0.35000000000000003,3.294
35,0.36000000000000004,3.302
36,0.37,3.311
37,0.38,3.32
38,0.39,3.328
39,0.4,3.337
40,0.41000000000000003,3.346
41,0.42000000000000004,3.355
42,0.43,3.365
43,0.44,3.374
44,0.45,3.384
45,0.46,3.393
46,0.47000000000000003,3.403
47,0.48000000000000004,3.413
48,0.49,3.423
49,0.5,3.433
50,0.51,3.444
51,0.52,3.454
52,0.53,3.465
53,0.54,3.476
54,0.55,3.487
55,0.56,3.498
56,0.5700000000000001,3.51
57,0.5800000000000001,3.522
58,0.59,3.533
59,0.6,3.545
60,0.61,3.558
61,0.62,3.57
62,0.63,3.583
63,0.64,3.596
64,0.65,3.609
65,0.66,3.622
66,0.67,3.636
67,0.68,3.65
68,0.6900000000000001,3.664
69,0.7000000000000001,3.678
70,0.7100000000000001,3.693
71,0.72,3.708
72,0.73,3.723
73,0.74,3.739
74,0.75,3.755
75,0.76,3.771
76,0.77,3.788
77,0.78,3.805
78,0.79,3.822
79,0.8,3.84
80,0.81,3.858
81,0.8200000000000001,3.877
82,0.8300000000000001,3.896
83,0.8400000000000001,3.916
84,0.85,3.936
85,0.86,3.956
86,0.87,3.978
87,0.88,3.999
88,0.89,4.022
89,0.9,4.045
90,0.91,4.068
91,0.92,4.093
92,0.93,4.118
93,0.9400000000000001,4.144
94,0.9500000000000001,4.17
95,0.9600000000000001,4.198
96,0.97,4.227
97,0.98,4.256
98,0.99,4.287
