,x,mu
0,0.01,2.545
1,0.02,2.554
2,0.03,2.563
3,0.04,2.572
4,0.05,2.582
5,0.060000000000000005,2.591
6,0.06999999999999999,2.601
7,0.08,2.611
8,0.09,2.621
9,0.09999999999999999,2.631
10,0.11,2.642
11,0.12,2.652
12,0.13,2.663
13,0.14,2.674
14,0.15000000000000002,2.685
15,0.16,2.697
16,0.17,2.708
17,0.18000000000000002,2.72
18,0.19,2.732
19,0.2,2.745
20,0.21000000000000002,2.757
21,0.22,2.77
22,0.23,2.783
23,0.24000000000000002,2.796
24,0.25,2.81
25,0.26,2.824
26,0.27,2.838
27,0.28,2.852
28,0.29000000000000004,2.867
29,0.3,2.882
30,0.31,2.897
31,0.32,2.913
32,0.33,2.929
33,0.34,2.946
34,0.35000000000000003,2.963
35,0.36000000000000004,2.965
36,0.37,2.948
37,0.38,2.931
38,0.39,2.914
39,0.4,2.897
40,0.41000000000000003,2.88
41,0.42000000000000004,2.863
42,0.43,2.846
43,0.44,2.829
44,0.45,2.813
45,0.46,2.796
46,0.47000000000000003,2.78
47,0.48000000000000004,2.763
48,0.49,2.747
49,0.5,2.731
50,0.51,2.715
51,0.52,2.699
52,0.53,2.683
53,0.54,2.667
54,0.55,2.651
55,0.56,2.636
56,0.5700000000000001,2.62
57,0.5800000000000001,2.605
58,0.59,2.589
59,0.6,2.574
60,0.61,2.559
61,0.62,2.544
62,0.63,2.529
63,0.64,2.514
64,0.65,2.499
65,0.66,2.484
66,0.67,2.47
67,0.68,2.455
68,0.6900000000000001,2.441
69,0.7000000000000001,2.427
70,0.7100000000000001,2.413
71,0.72,2.398
72,0.73,2.384
73,0.74,2.371
74,0.75,2.357
75,0.76,2.343
76,0.77,2.329
77,0.78,2.316
78,0.79,2.302
79,0.8,2.289
80,0.81,2.276
81,0.8200000000000001,2.263
82,0.8300000000000001,2.25
83,0.8400000000000001,2.237
84,0.85,2.224
85,0.86,2.211
86,0.87,2.199
87,0.88,2.186
88,0.89,2.174
89,0.9,2.161
90,0.91,2.149
91,0.92,2.137
92,0.93,2.125
93,0.9400000000000001,2.113
94,0.9500000000000001,2.101
95,0.9600000000000001,2.089
96,0.97,2.078
97,0.98,2.066
98,0.99,2.055
