,x,mu
0,0.01,0.842
1,0.02,0.845
2,0.03,0.848
3,0.04,0.851
4,0.05,0.854
5,0.060000000000000005,0.858
6,0.06999999999999999,0.861
7,0.08,0.864
8,0.09,0.868
9,0.09999999999999999,0.871
10,0.11,0.875
11,0.12,0.879
12,0.13,0.882
13,0.14,0.886
14,0.15000000000000002,0.89
15,0.16,0.894
16,0.17,0.898
17,0.18000000000000002,0.902
18,0.19,0.906
19,0.2,0.91
20,0.21000000000000002,0.915
21,0.22,0.919
22,0.23,0.923
23,0.24000000000000002,0.928
24,0.25,0.933
25,0.26,0.937
26,0.27,0.942
27,0.28,0.947
28,0.29000000000000004,0.952
29,0.3,0.957
30,0.31,0.963
31,0.32,0.968
32,0.33,0.973
33,0.34,0.979
34,0.35000000000000003,0.985
35,0.36000000000000004,0.991
36,0.37,0.997
37,0.38,1.003
38,0.39,1.009
39,0.4,1.016
40,0.41000000000000003,1.023
41,0.42000000000000004,1.029
42,0.43,1.036
43,0.44,1.044
44,0.45,1.051
45,0.46,1.059
46,0.47000000000000003,1.067
47,0.48000000000000004,1.075
48,0.49,1.083
49,0.5,1.092
50,0.51,1.101
51,0.52,1.11
52,0.53,1.119
53,0.54,1.129
54,0.55,1.139
55,0.56,1.149
56,0.5700000000000001,1.16
57,0.5800000000000001,1.171
58,0.59,1.183
59,0.6,1.195
60,0.61,1.207
61,0.62,1.22
62,0.63,1.234
63,0.64,1.248
64,0.65,1.262
65,0.66,1.255
66,0.67,1.243
67,0.68,1.231
68,0.6900000000000001,1.22
69,0.7000000000000001,1.208
70,0.7100000000000001,1.197
71,0.72,1.186
72,0.73,1.175
73,0.74,1.164
74,0.75,1.154
75,0.76,1.143
76,0.77,1.133
77,0.78,1.123
78,0.79,1.113
79,0.8,1.103
80,0.81,1.094
81,0.8200000000000001,1.084
82,0.8300000000000001,1.075
83,0.8400000000000001,1.065
84,0.85,1.056
85,0.86,1.047
86,0.87,1.038
87,0.88,1.03
88,0.89,1.021
89,0.9,1.013
90,0.91,1.004
91,0.92,0.996
92,0.93,0.988
93,0.9400000000000001,0.98
94,0.9500000000000001,0.972
95,0.9600000000000001,0.964
96,0.97,0.957
97,0.98,0.949
98,0.99,0.942
