,0,1,2,3,4,5
0.01,0.317,0.543,0.825,1.061,1.368,1.684
0.02,0.319,0.545,0.829,1.067,1.375,1.693
0.03,0.321,0.548,0.833,1.072,1.382,1.701
0.04,0.322,0.551,0.837,1.078,1.389,1.71
0.05,0.324,0.554,0.842,1.084,1.396,1.719
0.060000000000000005,0.326,0.557,0.846,1.089,1.403,1.728
0.06999999999999999,0.328,0.56,0.851,1.095,1.411,1.737
0.08,0.329,0.563,0.856,1.101,1.419,1.747
0.09,0.331,0.566,0.86,1.107,1.426,1.756
0.09999999999999999,0.333,0.569,0.865,1.113,1.434,1.766
0.11,0.335,0.572,0.87,1.119,1.442,1.776
0.12,0.337,0.576,0.875,1.126,1.451,1.786
0.13,0.339,0.579,0.88,1.132,1.459,1.796
0.14,0.341,0.582,0.885,1.139,1.467,1.807
0.15000000000000002,0.343,0.586,0.89,1.146,1.476,1.817
0.16,0.345,0.589,0.895,1.152,1.485,1.828
0.17,0.347,0.593,0.901,1.159,1.494,1.839
0.18000000000000002,0.349,0.596,0.906,1.166,1.503,1.85
0.19,0.351,0.6,0.912,1.173,1.512,1.862
0.2,0.353,0.604,0.917,1.181,1.521,1.873
0.21000000000000002,0.355,0.607,0.923,1.188,1.531,1.885
0.22,0.358,0.611,0.929,1.196,1.541,1.897
0.23,0.36,0.615,0.935,1.204,1.551,1.909
0.24000000000000002,0.362,0.619,0.941,1.211,1.561,1.922
0.25,0.365,0.623,0.948,1.22,1.571,1.935
0.26,0.367,0.628,0.954,1.228,1.582,1.948
0.27,0.37,0.632,0.96,1.236,1.593,1.961
0.28,0.372,0.636,0.967,1.245,1.604,1.975
0.29000000000000004,0.375,0.641,0.974,1.253,1.615,1.989
0.3,0.378,0.645,0.981,1.262,1.626,2.003
0.31,0.38,0.65,0.988,1.271,1.638,2.017
0.32,0.383,0.655,0.995,1.281,1.65,2.032
0.33,0.386,0.66,1.003,1.29,1.662,2.047
0.34,0.389,0.665,1.01,1.3,1.675,2.063
0.35000000000000003,0.387,0.655,1.018,1.278,1.67,2.078
0.36000000000000004,0.377,0.637,0.998,1.243,1.624,2.07
0.37,0.366,0.62,0.971,1.209,1.58,2.014
0.38,0.357,0.603,0.945,1.177,1.538,1.961
0.39,0.348,0.588,0.921,1.147,1.499,1.911
0.4,0.339,0.573,0.898,1.118,1.461,1.863
0.41000000000000003,0.331,0.559,0.876,1.091,1.426,1.817
0.42000000000000004,0.323,0.546,0.855,1.065,1.392,1.774
0.43,0.315,0.533,0.835,1.04,1.359,1.733
0.44,0.308,0.521,0.816,1.017,1.328,1.693
0.45,0.301,0.509,0.798,0.994,1.299,1.656
0.46,0.295,0.498,0.781,0.972,1.271,1.62
0.47000000000000003,0.288,0.488,0.764,0.952,1.244,1.585
0.48000000000000004,0.282,0.477,0.748,0.932,1.218,1.552
0.49,0.277,0.468,0.733,0.913,1.193,1.521
0.5,0.271,0.458,0.718,0.895,1.169,1.49
0.51,0.266,0.449,0.704,0.877,1.146,1.461
0.52,0.261,0.441,0.691,0.86,1.124,1.433
0.53,0.256,0.432,0.678,0.844,1.103,1.406
0.54,0.251,0.424,0.665,0.828,1.082,1.38
0.55,0.246,0.417,0.653,0.813,1.063,1.355
0.56,0.242,0.409,0.641,0.799,1.044,1.33
0.5700000000000001,0.238,0.402,0.63,0.785,1.025,1.307
0.5800000000000001,0.234,0.395,0.619,0.771,1.008,1.285
0.59,0.23,0.388,0.609,0.758,0.991,1.263
0.6,0.226,0.382,0.598,0.745,0.974,1.242
0.61,0.222,0.376,0.589,0.733,0.958,1.221
0.62,0.218,0.37,0.579,0.721,0.943,1.202
0.63,0.215,0.364,0.57,0.71,0.928,1.183
0.64,0.212,0.358,0.561,0.699,0.913,1.164
0.65,0.208,0.352,0.552,0.688,0.899,1.146
0.66,0.205,0.347,0.544,0.678,0.885,1.129
0.67,0.202,0.342,0.536,0.667,0.872,1.112
0.68,0.199,0.337,0.528,0.658,0.859,1.096
0.6900000000000001,0.196,0.332,0.52,0.648,0.847,1.08
0.7000000000000001,0.193,0.327,0.513,0.639,0.835,1.064
0.7100000000000001,0.191,0.323,0.506,0.63,0.823,1.049
0.72,0.188,0.318,0.499,0.621,0.812,1.035
0.73,0.185,0.314,0.492,0.613,0.8,1.021
0.74,0.183,0.31,0.485,0.604,0.79,1.007
0.75,0.18,0.305,0.479,0.596,0.779,0.993
0.76,0.178,0.301,0.472,0.588,0.769,0.98
0.77,0.176,0.297,0.466,0.581,0.759,0.967
0.78,0.174,0.294,0.46,0.573,0.749,0.955
0.79,0.171,0.29,0.454,0.566,0.74,0.943
0.8,0.169,0.286,0.449,0.559,0.73,0.931
0.81,0.167,0.283,0.443,0.552,0.721,0.92
0.8200000000000001,0.165,0.279,0.438,0.545,0.713,0.908
0.8300000000000001,0.163,0.276,0.432,0.539,0.704,0.898
0.8400000000000001,0.161,0.273,0.427,0.532,0.696,0.887
0.85,0.159,0.269,0.422,0.526,0.687,0.876
0.86,0.157,0.266,0.417,0.52,0.679,0.866
0.87,0.156,0.263,0.413,0.514,0.672,0.856
0.88,0.154,0.26,0.408,0.508,0.664,0.846
0.89,0.152,0.257,0.403,0.502,0.656,0.837
0.9,0.15,0.254,0.399,0.497,0.649,0.828
0.91,0.149,0.252,0.394,0.491,0.642,0.819
0.92,0.147,0.249,0.39,0.486,0.635,0.81
0.93,0.145,0.246,0.386,0.481,0.628,0.801
0.9400000000000001,0.144,0.244,0.382,0.476,0.622,0.792
0.9500000000000001,0.142,0.241,0.378,0.471,0.615,0.784
0.9600000000000001,0.141,0.238,0.374,0.466,0.609,0.776
0.97,0.139,0.236,0.37,0.461,0.602,0.768
0.98,0.138,0.234,0.366,0.456,0.596,0.76
0.99,0.137,0.231,0.362,0.452,0.59,0.752
