,x,mu,vmax
0,0.01,3.986,1000
1,0.02,3.967,1000
2,0.03,3.948,1000
3,0.04,3.929,1000
4,0.05,3.91,1000
5,0.060000000000000005,3.891,1000
6,0.06999999999999999,3.872,1000
7,0.08,3.854,1000
8,0.09,3.835,1000
9,0.09999999999999999,3.816,1000
10,0.11,3.797,1000
11,0.12,3.778,1000
12,0.13,3.76,1000
13,0.14,3.741,1000
14,0.15000000000000002,3.722,1000
15,0.16,3.704,1000
16,0.17,3.685,1000
17,0.18000000000000002,3.667,1000
18,0.19,3.648,1000
19,0.2,3.63,1000
20,0.21000000000000002,3.611,1000
21,0.22,3.593,1000
22,0.23,3.575,1000
23,0.24000000000000002,3.556,1000
24,0.25,3.538,1000
25,0.26,3.52,1000
26,0.27,3.502,1000
27,0.28,3.484,1000
28,0.29000000000000004,3.466,1000
29,0.3,3.448,1000
30,0.31,3.43,1000
31,0.32,3.412,1000
32,0.33,3.394,1000
33,0.34,3.377,1000
34,0.35000000000000003,3.359,1000
35,0.36000000000000004,3.341,1000
36,0.37,3.324,1000
37,0.38,3.306,1000
38,0.39,3.289,1000
39,0.4,3.272,1000
40,0.41000000000000003,3.254,1000
41,0.42000000000000004,3.237,1000
42,0.43,3.22,1000
43,0.44,3.203,1000
44,0.45,3.186,1000
45,0.46,3.169,1000
46,0.47000000000000003,3.153,1000
47,0.48000000000000004,3.136,1000
48,0.49,3.119,1000
49,0.5,3.103,1000
50,0.51,3.086,1000
51,0.52,3.07,1000
52,0.53,3.053,1000
53,0.54,3.037,1000
54,0.55,3.021,1000
55,0.56,3.005,1000
56,0.5700000000000001,2.989,1000
57,0.5800000000000001,2.973,1000
58,0.59,2.957,1000
59,0.6,2.941,1000
60,0.61,2.926,1000
61,0.62,2.91,1000
62,0.63,2.895,1000
63,0.64,2.879,1000
64,0.65,2.864,1000
65,0.66,2.849,1000
66,0.67,2.834,1000
67,0.68,2.819,1000
68,0.6900000000000001,2.804,1000
69,0.7000000000000001,2.789,1000
70,0.7100000000000001,2.774,1000
71,0.72,2.759,1000
72,0.73,2.745,1000
73,0.74,2.73,1000
74,0.75,2.716,1000
75,0.76,2.702,1000
76,0.77,2.687,1000
77,0.78,2.673,1000
78,0.79,2.659,1000
79,0.8,2.645,1000
80,0.81,2.631,1000
81,0.8200000000000001,2.618,1000
82,0.8300000000000001,2.604,1000
83,0.8400000000000001,2.59,1000
84,0.85,2.577,1000
85,0.86,2.563,1000
86,0.87,2.55,1000
87,0.88,2.537,1000
88,0.89,2.524,1000
