,wIG,wEAA,wENT,wRNAP,wAF,wrP,prot_fraction,name
1e-05EGM1,0.0027586914980679894,0.8894566201577216,0.08813702951811062,0.007440201007646476,0.011930347619047642,7.351827581185387e-06,1e-05,RBA_standard
1e-05EGM2,0.002759120443658073,0.889649059036222,0.08821392006584469,0.007440201007646478,0.011930347619047644,7.351827581185388e-06,1e-05,RBA_standard
1e-05EGM3,0.002759120443658073,0.889649059036222,0.08813702951811063,0.007517091555380561,0.011930347619047644,7.351827581185388e-06,1e-05,RBA_standard
1e-05EGM4,0.0027594496712773607,0.8896987029966517,0.0881618514983255,0.007442296387116565,0.011930347619047639,7.351827581185387e-06,1e-05,RBA_standard
1e-05EGM5,0.002759120443658073,0.889649059036222,0.08813702951811062,0.007440201007646478,0.012007238166781726,7.351827581185388e-06,1e-05,RBA_standard
1e-05EGM6,0.002759120443658073,0.889649059036222,0.08813702951811063,0.007440201007646478,0.011930347619047644,8.424237531526861e-05,1e-05,RBA_standard
1e-05EGM7,0.0028360109913921567,0.889649059036222,0.08813702951811063,0.007440201007646478,0.011930347619047644,7.351827581185388e-06,1e-05,RBA_standard
1e-05EGM8,0.002759120443658073,0.889725949583956,0.08813702951811063,0.007440201007646478,0.011930347619047644,7.351827581185388e-06,1e-05,RBA_standard
0.005EGM1,0.0027446902556976073,0.8862266833278576,0.08736459421456573,0.007374994885370761,0.011885096957671976,0.003668935973981848,0.005,RBA_standard
0.005EGM2,0.002745856775246024,0.8867500217624656,0.08757509364526407,0.007374994885370763,0.011885096957671978,0.0036689359739818495,0.005,RBA_standard
0.005EGM3,0.002745856775246024,0.8867500217624656,0.08736459421456573,0.007585494316069088,0.011885096957671978,0.0036689359739818495,0.005,RBA_standard
0.005EGM4,0.00274675808533514,0.8868859295653886,0.08743254811602724,0.007380731301595493,0.011885096957671978,0.003668935973981849,0.005,RBA_standard
0.005EGM5,0.0027458567752460237,0.8867500217624655,0.08736459421456574,0.007374994885370761,0.012095596388370305,0.0036689359739818486,0.005,RBA_standard
0.005EGM6,0.0027458567752460237,0.8867500217624655,0.08736459421456572,0.00737499488537076,0.011885096957671976,0.0038794354046801744,0.005,RBA_standard
0.005EGM7,0.00295635620594435,0.8867500217624656,0.08736459421456573,0.007374994885370763,0.011885096957671978,0.0036689359739818495,0.005,RBA_standard
0.005EGM8,0.002745856775246024,0.8869605211931639,0.08736459421456573,0.007374994885370763,0.011885096957671978,0.0036689359739818495,0.005,RBA_standard
0.01EGM1,0.002730756584207865,0.8830148523203534,0.08659524935269632,0.00731004964671449,0.011839932275132296,0.007323916314742011,0.01,RBA_standard
0.01EGM2,0.002732634097067088,0.8838571653720599,0.08693630229428423,0.007310049646714491,0.011839932275132295,0.007323916314742011,0.01,RBA_standard
0.01EGM3,0.002732634097067088,0.8838571653720599,0.08659524935269633,0.007651102588302393,0.011839932275132295,0.007323916314742011,0.01,RBA_standard
0.01EGM4,0.0027340944072263905,0.8840773643332536,0.08670534883329316,0.007319343836352566,0.011839932275132295,0.007323916314742011,0.01,RBA_standard
0.01EGM5,0.002732634097067088,0.8838571653720599,0.08659524935269633,0.00731004964671449,0.012180985216720201,0.007323916314742011,0.01,RBA_standard
0.01EGM6,0.002732634097067088,0.8838571653720599,0.08659524935269633,0.00731004964671449,0.011839932275132295,0.007664969256329911,0.01,RBA_standard
0.01EGM7,0.003073687038654991,0.8838571653720599,0.08659524935269633,0.007310049646714491,0.011839932275132295,0.007323916314742011,0.01,RBA_standard
0.01EGM8,0.002732634097067088,0.8841982183136478,0.08659524935269633,0.007310049646714491,0.011839932275132295,0.007323916314742011,0.01,RBA_standard
0.015EGM1,0.0027168761415696727,0.8798112486240305,0.08582986678381474,0.007245438890130534,0.011794853571428593,0.01096494102228048,0.015,RBA_standard
0.015EGM2,0.0027194639729662736,0.88097223356763,0.08630306897556397,0.007245438890130533,0.011794853571428591,0.010964941022280482,0.015,RBA_standard
0.015EGM3,0.0027194639729662736,0.88097223356763,0.08582986678381475,0.0077186410818797626,0.011794853571428591,0.010964941022280482,0.015,RBA_standard
0.015EGM4,0.0027214901157838613,0.8812777539674032,0.08598262698370134,0.007258334339402409,0.011794853571428595,0.01096494102228048,0.015,RBA_standard
