,vIG,vEAA,vENT,vRNAP,vAF,wIG,wEAA,wENT,wRNAP,wAF,wrP,prot_fraction,growth_rate,EGVs,name
1e-05EGM1,14.633333333333349,17.366819805416306,3.441786536040989,0.0004852967545493249,0.0004852967545493249,5.9481790123456905e-05,0.0025413446315259223,0.0002518240482203326,2.9626358614156773e-05,4.2609055049430764e-05,0.0004852967545493249,1e-05,2.6340000000000026,EGM1,RBA_standard
1e-05EGM2,14.633333333333347,17.367876703258865,3.441251460031518,0.0004852213080775248,0.0004852213080775248,5.94817901234569e-05,0.0025414992909102165,0.0002520045550754938,2.9621752763800742e-05,4.260243084920672e-05,0.0004852213080775248,1e-05,2.6340000000000026,EGM2,RBA_standard
1e-05EGM3,14.633333333333347,17.36787670325887,3.441251460031518,0.00048522130807752474,0.00048522130807752474,5.9481790123456905e-05,0.0025414992909102165,0.00025178489849230634,2.992787793333735e-05,4.260243084920672e-05,0.00048522130807752474,1e-05,2.6340000000000026,EGM3,RBA_standard
1e-05EGM4,14.633333333333347,17.36677359850974,3.441809929226385,0.00048530005302145044,0.00048516341673138095,5.9481790123456905e-05,0.0025413378699152616,0.0002518257598217307,2.9626559979027145e-05,4.259734798901528e-05,0.00048516341673138095,1e-05,2.6340000000000026,EGM4,RBA_standard
1e-05EGM5,14.633333333333347,17.367876703258865,3.441251460031518,0.0004852213080775248,0.0004852213080775248,5.94817901234569e-05,0.0025414992909102165,0.0002517848984923063,2.9621752763800742e-05,4.2877001578191086e-05,0.0004852213080775248,1e-05,2.6340000000000026,EGM5,RBA_standard
1e-05EGM6,14.633333333333347,17.367876703258865,3.441251460031518,0.0004852213080775248,0.0004852213080775248,5.94817901234569e-05,0.0025414992909102165,0.00025178489849230634,2.9621752763800742e-05,4.260243084920672e-05,0.005560004651175682,1e-05,2.6340000000000026,EGM6,RBA_standard
1e-05EGM7,14.633333333333347,17.367876703258865,3.441251460031518,0.0004852213080775248,0.0004852213080775248,6.113941526748022e-05,0.0025414992909102165,0.00025178489849230634,2.9621752763800742e-05,4.260243084920672e-05,0.0004852213080775248,1e-05,2.6340000000000026,EGM7,RBA_standard
1e-05EGM8,14.633333333333347,17.367876703258865,3.441251460031518,0.0004852213080775248,0.0004852213080775248,5.94817901234569e-05,0.002541718947493404,0.00025178489849230634,2.9621752763800742e-05,4.260243084920672e-05,0.0004852213080775248,1e-05,2.6340000000000026,EGM8,RBA_standard
0.005EGM1,14.605555555555569,17.359010256494315,3.422516869680082,0.0004849998780149664,0.0004849998780149664,5.9256181412894475e-05,0.002535379886906866,0.00024993880139969287,2.9404564870552102e-05,4.250215597671159e-05,0.0004849998780149664,0.005,2.6290000000000022,EGM1,RBA_standard
0.005EGM2,14.605555555555565,17.361882209107574,3.4210628853101546,0.0004847938360087757,0.0004847938360087757,5.925618141289447e-05,0.002535799351541325,0.00025043457595349037,2.9392072959086288e-05,4.248409982890241e-05,0.0004847938360087757,0.005,2.6290000000000022,EGM2,RBA_standard
0.005EGM3,14.605555555555567,17.361882209107574,3.4210628853101546,0.0004847938360087757,0.0004847938360087757,5.925618141289447e-05,0.002535799351541325,0.0002498326201522334,3.023099077816221e-05,4.248409982890241e-05,0.0004847938360087757,0.005,2.6290000000000022,EGM3,RBA_standard
0.005EGM4,14.605555555555567,17.358845248205956,3.4226004084791115,0.000485011716176437,0.0004846347577201309,5.925618141289446e-05,0.0025353557865296387,0.00024994490205254425,2.940528259441697e-05,4.247015926820751e-05,0.0004846347577201309,0.005,2.6290000000000022,EGM4,RBA_standard
0.005EGM5,14.605555555555569,17.361882209107577,3.4210628853101546,0.00048479383600877573,0.00048479383600877573,5.9256181412894475e-05,0.002535799351541325,0.0002498326201522335,2.939207295908629e-05,4.3236544580473595e-05,0.00048479383600877573,0.005,2.6290000000000022,EGM5,RBA_standard
0.005EGM6,14.605555555555567,17.361882209107574,3.4210628853101546,0.00048479383600877573,0.00048479383600877573,5.925618141289447e-05,0.002535799351541325,0.00024983262015223346,2.9392072959086285e-05,4.248409982890241e-05,0.0005126081198255502,0.005,2.6290000000000022,EGM6,RBA_standard
0.005EGM7,14.605555555555565,17.361882209107574,3.4210628853101546,0.0004847938360087757,0.0004847938360087757,6.379880452609506e-05,0.002535799351541325,0.0002498326201522334,2.9392072959086288e-05,4.248409982890241e-05,0.0004847938360087757,0.005,2.6290000000000022,EGM7,RBA_standard
0.005EGM8,14.605555555555565,17.361882209107574,3.4210628853101546,0.0004847938360087757,0.0004847938360087757,5.925618141289447e-05,0.002536401307342582,0.0002498326201522334,2.9392072959086288e-05,4.248409982890241e-05,0.0004847938360087757,0.005,2.6290000000000022,EGM8,RBA_standard
0.01EGM1,14.577777777777792,17.351288937021202,3.403202535367816,0.0004846985429160223,0.0004846985429160223,5.903100137174221e-05,0.0025294323428190933,0.0002480556514668099,2.9183017819624697e-05,4.239496588705479e-05,0.0004846985429160223,0.01,2.6240000000000023,EGM1,RBA_standard
