,G,AA,NT,rRNA,rP,IG,EAA,ENT,RNAP,AF,R,growth_rate,EGVs,prot_fraction,name
1e-05EGM1,6.069556398861898e-17,-1.7639664748917863e-16,-5.467658722641426e-17,0.0,0.0,0.0015901103909465037,0.5126829930057273,0.05080220334968835,0.004288533509917582,0.006876655011963933,0.42375950473175633,2.6340000000000026,EGM1,1e-05,RBA_standard
1e-05EGM2,0.0,-5.75287901431509e-17,-5.467658722641426e-17,0.0,0.0,0.0015901103909465035,0.5127141935107877,0.05083861824344738,0.004287866794718096,0.006875585935458527,0.4236936251246416,2.6340000000000026,EGM2,1e-05,RBA_standard
1e-05EGM3,-1.2139112797723795e-16,8.719275607192395e-17,0.0,0.0,0.0,0.0015901103909465037,0.5127141935107877,0.05079430540484022,0.0043321796333252545,0.006875585935458527,0.42369362512464154,2.6340000000000026,EGM3,1e-05,RBA_standard
1e-05EGM4,-6.069556398861898e-17,-9.978282226470986e-18,-5.467658722641426e-17,0.00011930915889337592,0.0,0.0015901103909465037,0.5126816289393398,0.05080254864285195,0.004288562658285276,0.006874765615083667,0.42364307459459954,2.6340000000000026,EGM4,1e-05,RBA_standard
1e-05EGM5,0.0,-5.063731464860979e-17,-5.467658722641426e-17,0.0,0.0,0.0015901103909465035,0.5127141935107877,0.05079430540484021,0.004287866794718096,0.006919898774065684,0.4236936251246416,2.6340000000000026,EGM5,1e-05,RBA_standard
1e-05EGM6,0.0,-6.131439069557218e-17,-5.467658722641426e-17,0.0,4.431283860715927e-05,0.0015901103909465035,0.5127141935107877,0.05079430540484022,0.004287866794718096,0.006875585935458527,0.4236936251246416,2.6340000000000026,EGM6,1e-05,RBA_standard
1e-05EGM7,0.0,-4.834015615042942e-17,-5.467658722641426e-17,0.0,0.0,0.0016344232295536628,0.5127141935107877,0.05079430540484022,0.004287866794718096,0.006875585935458527,0.4236936251246416,2.6340000000000026,EGM7,1e-05,RBA_standard
1e-05EGM8,0.0,-4.834015615042942e-17,-5.467658722641426e-17,0.0,0.0,0.0015901103909465035,0.512758506349395,0.05079430540484022,0.004287866794718096,0.006875585935458527,0.4236936251246416,2.6340000000000026,EGM8,1e-05,RBA_standard
0.005EGM1,6.081099868620099e-17,-3.855058362893453e-17,0.0,0.0,0.0,0.001587091958161867,0.5124524486135925,0.05051777504517371,0.004264523127795297,0.006872448271472075,0.42430571298380443,2.6290000000000022,EGM1,0.005,RBA_standard
0.005EGM2,-1.2162199737240197e-16,-9.982875014358421e-17,0.0,0.0,0.0,0.0015870919581618668,0.5125372310480298,0.05061798128462755,0.00426271143476087,0.006869528656244351,0.4241254556181754,2.6290000000000022,EGM2,0.005,RBA_standard
0.005EGM3,0.0,-9.062264062025655e-17,0.0,0.0,0.0,0.0015870919581618668,0.5125372310480298,0.05049631363004675,0.004384379089341664,0.006869528656244351,0.4241254556181754,2.6290000000000022,EGM3,0.005,RBA_standard
0.005EGM4,-1.2162199737240197e-16,-3.5673674402894645e-17,-5.478057464981939e-17,0.0003281359555939437,0.0,0.0015870919581618666,0.5124475774314133,0.05051900811265523,0.004264627218776904,0.006867274516894255,0.42398628480650447,2.6290000000000022,EGM4,0.005,RBA_standard
0.005EGM5,0.0,3.5673674402894645e-17,-5.478057464981939e-17,0.0,0.0,0.001587091958161867,0.5125372310480298,0.05049631363004677,0.004262711434760871,0.006991196310825146,0.42412545561817544,2.6290000000000022,EGM5,0.005,RBA_standard
0.005EGM6,0.0,-9.925336829837622e-17,-5.478057464981939e-17,0.0,0.00012166765458079353,0.0015870919581618668,0.5125372310480298,0.05049631363004676,0.00426271143476087,0.006869528656244351,0.42412545561817544,2.6290000000000022,EGM6,0.005,RBA_standard
0.005EGM7,-1.2162199737240197e-16,-5.379820252694595e-17,0.0,0.0,0.0,0.0017087596127426604,0.5125372310480298,0.05049631363004675,0.00426271143476087,0.006869528656244351,0.4241254556181754,2.6290000000000022,EGM7,0.005,RBA_standard
0.005EGM8,-1.2162199737240197e-16,-1.2744707871356716e-16,0.0,0.0,0.0,0.0015870919581618668,0.5126588987026107,0.05049631363004675,0.00426271143476087,0.006869528656244351,0.4241254556181754,2.6290000000000022,EGM8,0.005,RBA_standard
0.01EGM1,1.8278061990779998e-16,-1.0030721172370761e-16,-5.488495836675883e-17,0.0,0.0,0.00158407352537723,0.5122245088283135,0.05023268742308537,0.004240457088529777,0.006868178353120037,0.42485009478157404,2.6240000000000023,EGM1,0.01,RBA_standard
0.01EGM2,-1.8278061990779998e-16,3.28592590129387e-17,0.0,0.0,0.0,0.00158407352537723,0.5123608526233181,0.05039587810397816,0.004237543594651747,0.006863459428917464,0.42455819272375706,2.6240000000000023,EGM2,0.01,RBA_standard
0.01EGM3,-1.8278061990779998e-16,3.055334609975002e-17,0.0,0.0,0.0,0.00158407352537723,0.5123608526233181,0.0501981740146889,0.004435247683941004,0.006863459428917464,0.42455819272375706,2.6240000000000023,EGM3,0.01,RBA_standard
0.01EGM4,0.0,4.496530180717927e-17,0.0,0.0005341110955944471,0.0,0.00158407352537723,0.512214773390459,0.05023515180470667,0.0042406651224823864,0.006859793579082316,0.4243314314822978,2.6240000000000023,EGM4,0.01,RBA_standard
0.01EGM5,-6.09268733026e-17,2.940038964315568e-17,5.488495836675883e-17,0.0,0.0,0.00158407352537723,0.5123608526233181,0.0501981740146889,0.004237543594651746,0.007061163518206724,0.42455819272375706,2.6240000000000023,EGM5,0.01,RBA_standard
0.01EGM6,-1.8278061990779998e-16,3.1129824328047185e-17,0.0,0.0,0.0001977040892892582,0.00158407352537723,0.5123608526233181,0.0501981740146889,0.004237543594651746,0.006863459428917464,0.42455819272375706,2.6240000000000023,EGM6,0.01,RBA_standard
0.01EGM7,-1.8278061990779998e-16,3.28592590129387e-17,0.0,0.0,0.0,0.0017817776146664885,0.5123608526233181,0.0501981740146889,0.004237543594651747,0.006863459428917464,0.42455819272375706,2.6240000000000023,EGM7,0.01,RBA_standard
0.01EGM8,-1.8278061990779998e-16,3.28592590129387e-17,0.0,0.0,0.0,0.00158407352537723,0.5125585567126074,0.0501981740146889,0.004237543594651747,0.006863459428917464,0.42455819272375706,2.6240000000000023,EGM8,0.01,RBA_standard
0.015EGM1,0.0,-1.2129154750701513e-16,0.0,0.0,0.0,0.001581055092592594,0.5119961244731627,0.0499477123372627,0.004216400549158249,0.006863880550225258,0.4253948269975983,2.6190000000000024,EGM1,0.015,RBA_standard
0.015EGM2,6.104319035739687e-17,4.620630381219624e-18,0.0,0.0,0.0,0.0015810550925925938,0.5121838899728082,0.05017529486200608,0.0042123882387065485,0.0068573489080461505,0.42499002292584026,2.6190000000000024,EGM2,0.015,RBA_standard
0.015EGM3,6.104319035739687e-17,-6.930945571829436e-18,0.0,0.0,0.0,0.0015810550925925938,0.5121838899728082,0.04990018228742212,0.004487500813290514,0.0068573489080461505,0.42499002292584026,2.6190000000000024,EGM3,0.015,RBA_standard
0.015EGM4,1.2208638071479373e-16,4.620630381219624e-18,-5.498974064695501e-17,0.0007444975845537293,0.0,0.001581055092592594,0.5119800629874434,0.04995177806402399,0.004216743762725935,0.006852243628347668,0.4246736188803125,2.6190000000000024,EGM4,0.015,RBA_standard
0.015EGM5,6.104319035739687e-17,-8.317134686195322e-17,-5.498974064695501e-17,0.0,0.0,0.001581055092592594,0.5121838899728083,0.04990018228742212,0.0042123882387065485,0.007132461482630118,0.4249900229258403,2.6190000000000024,EGM5,0.015,RBA_standard
0.015EGM6,-6.104319035739687e-17,-8.317134686195322e-17,0.0,0.0,0.00027511257458396666,0.0015810550925925938,0.5121838899728083,0.04990018228742212,0.0042123882387065485,0.006857348908046151,0.42499002292584026,2.6190000000000024,EGM6,0.015,RBA_standard
0.015EGM7,6.104319035739687e-17,4.158567343097661e-17,0.0,0.0,0.0,0.0018561676671765598,0.5121838899728082,0.04990018228742212,0.0042123882387065485,0.0068573489080461505,0.42499002292584026,2.6190000000000024,EGM7,0.015,RBA_standard
0.015EGM8,6.104319035739687e-17,-3.2344412668537365e-17,0.0,0.0,0.0,0.0015810550925925938,0.5124590025473921,0.04990018228742212,0.0042123882387065485,0.0068573489080461505,0.42499002292584026,2.6190000000000024,EGM8,0.015,RBA_standard
0.02EGM1,0.0,-5.553237920495997e-17,0.0,0.0,0.0,0.0015786403463648852,0.5121114748033898,0.049644283356008505,0.004190786200405859,0.006856989994968685,0.42561782529886233,2.6150000000000024,EGM1,0.02,RBA_standard
0.02EGM2,-1.222731285246825e-16,1.2494785321115994e-16,0.0,0.0,0.0,0.0015786403463648852,0.5121584825305987,0.049701940625014616,0.004189781704928535,0.006855346433329264,0.425515808359764,2.6150000000000024,EGM2,0.02,RBA_standard
0.02EGM3,0.0,-4.049235983694998e-17,0.0,0.0,0.0,0.0015786403463648854,0.5121584825305987,0.04963238404744888,0.004259338282494284,0.006855346433329264,0.42551580835976405,2.6150000000000024,EGM3,0.02,RBA_standard
0.02EGM4,-6.113656426234125e-17,7.982779510712997e-17,0.0,0.0001886237556514414,0.0,0.001578640346364885,0.5121067776260788,0.04964547237673979,0.004190886573124242,0.006854053352138718,0.4254355459699021,2.6150000000000024,EGM4,0.02,RBA_standard
0.02EGM5,1.222731285246825e-16,-3.1236963302789984e-17,-5.507385497299241e-17,0.0,0.0,0.0015786403463648854,0.5121584825305987,0.04963238404744887,0.004189781704928535,0.006924903010895014,0.425515808359764,2.6150000000000024,EGM5,0.02,RBA_standard
0.02EGM6,0.0,-2.8923114169249986e-17,0.0,0.0,6.9556577565749e-05,0.001578640346364885,0.5121584825305987,0.04963238404744887,0.004189781704928534,0.006855346433329264,0.42551580835976394,2.6150000000000024,EGM6,0.02,RBA_standard
0.02EGM7,-1.222731285246825e-16,1.2494785321115994e-16,0.0,0.0,0.0,0.0016481969239306338,0.5121584825305987,0.04963238404744887,0.004189781704928535,0.006855346433329264,0.425515808359764,2.6150000000000024,EGM7,0.02,RBA_standard
0.02EGM8,-1.222731285246825e-16,1.2494785321115994e-16,0.0,0.0,0.0,0.0015786403463648852,0.5122280391081645,0.04963238404744887,0.004189781704928535,0.006855346433329264,0.425515808359764,2.6150000000000024,EGM8,0.02,RBA_standard
0.025EGM1,-3.0626842058624977e-17,-4.636563589430726e-17,-5.517936044228933e-17,0.0,0.0,0.0015756219135802485,0.5118810426300471,0.049359826644972,0.004166773420310395,0.006852662702218881,0.4261640726888713,2.6100000000000025,EGM1,0.025,RBA_standard
0.025EGM2,-3.0626842058624977e-17,-3.709250871544581e-17,0.0,0.0,0.0,0.0015756219135802485,0.5119806741070386,0.04948357254483207,0.004164644422080123,0.00684916135830261,0.42594632565416624,2.6100000000000025,EGM2,0.025,RBA_standard
0.025EGM3,-3.0626842058624977e-17,-4.636563589430726e-17,0.0,0.0,0.0,0.0015756219135802485,0.5119806741070386,0.049334606415078655,0.004313610551833553,0.00684916135830261,0.42594632565416624,2.6100000000000025,EGM3,0.025,RBA_standard
0.025EGM4,0.0,7.418501743089162e-17,0.0,0.0004046532706640862,0.0,0.0015756219135802485,0.5118696396981849,0.04936271312795615,0.00416701708649389,0.006846389822757668,0.4257739650803629,2.6100000000000025,EGM4,0.025,RBA_standard
0.025EGM5,9.188052617587492e-17,-4.8683917689022616e-17,-5.517936044228933e-17,0.0,0.0,0.0015756219135802485,0.5119806741070386,0.049334606415078655,0.004164644422080123,0.0069981274880560424,0.42594632565416635,2.6100000000000025,EGM5,0.025,RBA_standard
0.025EGM6,-1.5313421029312488e-16,3.0137663331299715e-17,5.517936044228933e-17,0.0,0.0001489661297534299,0.0015756219135802485,0.5119806741070385,0.049334606415078655,0.004164644422080122,0.00684916135830261,0.4259463256541662,2.6100000000000025,EGM6,0.025,RBA_standard
0.025EGM7,-3.0626842058624977e-17,-4.636563589430726e-17,0.0,0.0,0.0,0.0017245880433336795,0.5119806741070386,0.049334606415078655,0.004164644422080123,0.00684916135830261,0.42594632565416624,2.6100000000000025,EGM7,0.025,RBA_standard
0.025EGM8,-3.0626842058624977e-17,2.7819381536584356e-17,0.0,0.0,0.0,0.0015756219135802485,0.512129640236792,0.049334606415078655,0.004164644422080123,0.00684916135830261,0.42594632565416624,2.6100000000000025,EGM8,0.025,RBA_standard
0.03EGM1,-6.137125356853067e-17,-3.9486435021696993e-17,0.0,0.0,0.0,0.0015726034807956118,0.5116501290192887,0.04907549180267281,0.004142770927921557,0.006848307804546177,0.426710696964775,2.605000000000002,EGM1,0.03,RBA_standard
0.03EGM2,-6.137125356853067e-17,-3.251824060610341e-17,0.0,0.0,0.0,0.0015726034807956118,0.5118022474613496,0.04926681107824906,0.004139520349854078,0.006842934357755102,0.42637588327199655,2.605000000000002,EGM2,0.03,RBA_standard
0.03EGM3,-6.137125356853067e-17,-2.555004619050982e-17,0.0,0.0,0.0,0.0015726034807956118,0.5118022474613496,0.04903698527646607,0.004369346151637065,0.006842934357755102,0.42637588327199655,2.605000000000002,EGM3,0.03,RBA_standard
0.03EGM4,6.137125356853067e-17,-7.200467562780039e-17,0.0,0.000625361559779408,0.0,0.0015726034807956118,0.5116304789832392,0.049080465917697,0.004143190824255906,0.006838655049651666,0.42610924418458124,2.605000000000002,EGM4,0.03,RBA_standard
0.03EGM5,-2.4548501427412267e-16,1.2310476800882004e-16,-5.528527092298471e-17,0.0,0.0,0.0015726034807956118,0.5118022474613494,0.049036985276466064,0.004139520349854077,0.007072760159538089,0.4263758832719965,2.605000000000002,EGM5,0.03,RBA_standard
0.03EGM6,-6.137125356853067e-17,1.1381384212136192e-16,0.0,0.0,0.0002298258017829879,0.0015726034807956118,0.5118022474613496,0.04903698527646607,0.004139520349854078,0.0068429343577551,0.42637588327199655,2.605000000000002,EGM6,0.03,RBA_standard
0.03EGM7,-6.137125356853067e-17,-2.3227314718645292e-17,0.0,0.0,0.0,0.0018024292825786004,0.5118022474613496,0.04903698527646607,0.004139520349854078,0.006842934357755102,0.42637588327199655,2.605000000000002,EGM7,0.03,RBA_standard
0.03EGM8,-6.137125356853067e-17,-2.3227314718645292e-17,0.0,0.0,0.0,0.0015726034807956118,0.5120320732631325,0.04903698527646607,0.004139520349854078,0.006842934357755102,0.42637588327199655,2.605000000000002,EGM8,0.03,RBA_standard
0.035EGM1,0.0,5.117867768264366e-17,-5.5370292485342247e-17,0.0,0.0,0.001570188734567902,0.5117597885552724,0.048773503361531224,0.004117278184220483,0.006841431518152195,0.42693780964625555,2.601000000000002,EGM1,0.035,RBA_standard
0.035EGM2,3.0732817290661744e-17,1.4423081892381394e-16,0.0,0.0,0.0,0.001570188734567902,0.5117764042810365,0.04879465001328341,0.0041169231272463755,0.006840841541506287,0.4269009923023593,2.601000000000002,EGM2,0.035,RBA_standard
0.035EGM3,3.0732817290661744e-17,1.3725190833072616e-16,-5.5370292485342247e-17,0.0,0.0,0.0015701887345679023,0.5117764042810365,0.04876929733712741,0.0041422758034023776,0.006840841541506287,0.4269009923023593,2.601000000000002,EGM3,0.035,RBA_standard
0.035EGM4,-1.5366408645330873e-16,-4.419976708955589e-17,0.0,6.91297895851857e-05,0.0,0.0015701887345679023,0.5117573929706317,0.048774109768233154,0.004117329374824243,0.006840368635569937,0.42687148072658776,2.601000000000002,EGM4,0.035,RBA_standard
0.035EGM5,1.5366408645330873e-16,-1.1631517655146285e-17,-5.5370292485342247e-17,0.0,0.0,0.001570188734567902,0.5117764042810365,0.04876929733712741,0.0041169231272463755,0.006866194217662288,0.4269009923023593,2.601000000000002,EGM5,0.035,RBA_standard
0.035EGM6,-9.219845187198523e-17,-6.978910593087771e-18,0.0,0.0,2.5352676156002137e-05,0.001570188734567902,0.5117764042810365,0.04876929733712741,0.0041169231272463755,0.006840841541506287,0.4269009923023593,2.601000000000002,EGM6,0.035,RBA_standard
0.035EGM7,3.0732817290661744e-17,1.3492560479969693e-16,0.0,0.0,0.0,0.001595541410723905,0.5117764042810365,0.04876929733712741,0.0041169231272463755,0.006840841541506287,0.4269009923023593,2.601000000000002,EGM7,0.035,RBA_standard
0.035EGM8,3.0732817290661744e-17,6.048389180676068e-17,0.0,0.0,0.0,0.001570188734567902,0.5118017569571925,0.04876929733712741,0.0041169231272463755,0.006840841541506287,0.4269009923023593,2.601000000000002,EGM8,0.035,RBA_standard
0.04EGM1,6.158401985594083e-17,-9.323136339302153e-17,5.547693788689337e-17,0.0,0.0,0.0015671703017832662,0.5115267915055154,0.04848969591089691,0.004093320212279153,0.006837047123436464,0.42748597494608864,2.5960000000000023,EGM1,0.04,RBA_standard
0.04EGM2,-1.847520595678225e-16,4.661568169651077e-17,5.547693788689337e-17,0.0,0.0,0.001567170301783266,0.5115970693115045,0.048580263244161905,0.004091818464748191,0.0068345387639375185,0.42732913991386445,2.5960000000000023,EGM2,0.04,RBA_standard
0.04EGM3,6.158401985594083e-17,-1.1187763607162584e-16,5.547693788689337e-17,0.0,0.0,0.001567170301783266,0.5115970693115045,0.04847190612721645,0.004200175581693654,0.0068345387639375185,0.42732913991386445,2.5960000000000023,EGM3,0.04,RBA_standard
0.04EGM4,-3.0792009927970416e-17,1.631548859377877e-17,5.547693788689337e-17,0.000295962032647605,0.0,0.001567170301783266,0.5115155954756773,0.04849253001970407,0.004093559457228955,0.006832515999952733,0.42720266671300594,2.5960000000000023,EGM4,0.04,RBA_standard
0.04EGM5,6.158401985594083e-17,-9.789293156267261e-17,5.547693788689337e-17,0.0,0.0,0.001567170301783266,0.5115970693115045,0.04847190612721645,0.004091818464748189,0.006942895880882981,0.42732913991386445,2.5960000000000023,EGM5,0.04,RBA_standard
0.04EGM6,9.237602978391125e-17,-9.556214747784707e-17,0.0,0.0,0.00010835711694546349,0.001567170301783266,0.5115970693115045,0.04847190612721645,0.00409181846474819,0.006834538763937518,0.4273291399138644,2.5960000000000023,EGM6,0.04,RBA_standard
0.04EGM7,-1.847520595678225e-16,9.323136339302153e-17,5.547693788689337e-17,0.0,0.0,0.0016755274187287296,0.5115970693115045,0.04847190612721645,0.004091818464748191,0.0068345387639375185,0.42732913991386445,2.5960000000000023,EGM7,0.04,RBA_standard
0.04EGM8,-1.847520595678225e-16,-5.593881803581292e-17,5.547693788689337e-17,0.0,0.0,0.001567170301783266,0.5117054264284501,0.04847190612721645,0.004091818464748191,0.0068345387639375185,0.42732913991386445,2.5960000000000023,EGM8,0.04,RBA_standard
0.045EGM1,-1.2340572408029517e-16,6.071733021589523e-17,0.0,0.0,0.0,0.0015641518689986295,0.5112932769393298,0.04820601946186666,0.004069373299007168,0.006832635386762586,0.4280345430440351,2.5910000000000024,EGM1,0.045,RBA_standard
0.045EGM2,-6.170286204014759e-17,9.107599532384283e-17,-5.558399488783294e-17,0.0,0.0,0.0015641518689986293,0.5114170811737319,0.048367572172606725,0.004066727759626427,0.006828193423673493,0.42775627360136265,2.5910000000000024,EGM2,0.045,RBA_standard
0.045EGM3,-6.170286204014759e-17,9.107599532384283e-17,-5.558399488783294e-17,0.0,0.0,0.0015641518689986293,0.5114170811737319,0.04817468025715267,0.004259619675080474,0.006828193423673493,0.42775627360136265,2.5910000000000024,EGM3,0.045,RBA_standard
0.045EGM4,1.5425715510036895e-16,-4.6705638627611714e-18,0.0,0.0005277511092499044,0.0,0.0015641518689986295,0.5112716541232132,0.0482114929568892,0.004069835351148076,0.0068245898370199775,0.42753052475348086,2.5910000000000024,EGM4,0.045,RBA_standard
0.045EGM5,-6.170286204014759e-17,9.341127725522343e-17,0.0,0.0,0.0,0.0015641518689986295,0.5114170811737319,0.04817468025715267,0.004066727759626427,0.007021085339127541,0.4277562736013626,2.5910000000000024,EGM5,0.045,RBA_standard
0.045EGM6,3.085143102007379e-17,9.107599532384283e-17,0.0,0.0,0.00019289191545404806,0.0015641518689986295,0.5114170811737319,0.04817468025715267,0.004066727759626427,0.006828193423673493,0.42775627360136265,2.5910000000000024,EGM6,0.045,RBA_standard
0.045EGM7,-6.170286204014759e-17,8.17348675983205e-17,-5.558399488783294e-17,0.0,0.0,0.001757043784452677,0.5114170811737319,0.04817468025715267,0.004066727759626427,0.006828193423673493,0.42775627360136265,2.5910000000000024,EGM7,0.045,RBA_standard
