,G,AA,NT,rRNA,rP,IG,EAA,ENT,RNAP,AF,R,mu,EGVs,x
1e-05EGM1,-2.6182789968231663e-17,-7.911744731177871e-17,0.0,0.0,0.0,0.0018430550582989,0.3527001029891025,0.03074426780082551,0.38929755209877887,0.004161585705376795,0.22125343634757932,3.053,EGM1,1e-05
1e-05EGM2,-2.880106896505483e-16,7.380514520713859e-17,-4.717265992609738e-17,0.0,0.0,0.0018430550582989,0.35271181405337465,0.030851102701196672,0.38922247692415685,0.004160783152748731,0.22121076811018617,3.053,EGM2,1e-05
1e-05EGM3,-2.880106896505483e-16,1.372256809079664e-16,-4.717265992609738e-17,0.0,0.0,0.0018430550582989,0.35271181405337465,0.030738338836563264,0.3893352407887903,0.004160783152748731,0.22121076811018617,3.053,EGM3,1e-05
1e-05EGM4,-1.0473115987292665e-16,-1.5230567065140512e-16,0.0,5.5292780843730026e-05,0.0,0.0018430550582989001,0.3526999949206728,0.03074432251266407,0.38929824488433995,0.004160553091477728,0.2211985367516648,3.053,EGM4,1e-05
1e-05EGM5,-7.854836990469499e-17,3.862656681058567e-17,-4.717265992609738e-17,0.0,0.0,0.0018430550582989,0.35271181405337465,0.030738338836563264,0.38922247692415674,0.004273547017382136,0.22121076811018617,3.053,EGM5,1e-05
1e-05EGM6,-2.880106896505483e-16,1.0199000699740058e-16,-4.717265992609738e-17,0.0,0.00011276386463340387,0.0018430550582989,0.35271181405337465,0.030738338836563264,0.38922247692415685,0.004160783152748731,0.22121076811018617,3.053,EGM6,1e-05
1e-05EGM7,-2.880106896505483e-16,7.380514520713859e-17,-4.717265992609738e-17,0.0,0.0,0.0019558189229323037,0.35271181405337465,0.030738338836563264,0.38922247692415685,0.004160783152748731,0.22121076811018617,3.053,EGM7,1e-05
1e-05EGM8,-2.880106896505483e-16,1.372256809079664e-16,-4.717265992609738e-17,0.0,0.0,0.0018430550582989,0.35282457791800803,0.030738338836563264,0.38922247692415685,0.004160783152748731,0.22121076811018617,3.053,EGM8,1e-05
0.005EGM1,-7.847126090282519e-17,-6.484323694626394e-17,0.0,0.0,0.0,0.0018448661179696812,0.3532432532631929,0.03067495925518754,0.3884199365598046,0.004173027622896669,0.22164395718091054,3.056,EGM1,0.005
0.005EGM2,-2.6157086967608397e-17,-8.315773898452171e-17,-4.712635168664113e-17,0.0,0.0,0.0018448661179696815,0.3532484782868532,0.030722703338738205,0.38838644092229574,0.0041726677592351675,0.2216248435748699,3.056,EGM2,0.005
