,vIG,vEAA,vENT,vRNAP,vAF,wIG,wEAA,wENT,wRNAP,wAF,wrP,x,mu,EGVs
1e-05EGM1,16.961111111110466,23.894996391640877,2.08288617422679,0.000293689887464852,0.000293689887464852,7.991091392317637e-05,0.002026428443991023,0.00017664031916428188,0.00020781214019327285,2.9887840881005302e-05,0.000293689887464852,1e-05,3.053,EGM1
1e-05EGM2,16.961111111110466,23.895789801782115,2.0824844942203145,0.0002936332500175645,0.0002936332500175645,7.991091392317637e-05,0.0020264957295788337,0.0001772541360559933,0.0002077720640802085,2.9882077076786346e-05,0.0002936332500175645,1e-05,3.053,EGM2
1e-05EGM3,16.961111111110466,23.895789801782115,2.0824844942203145,0.0002936332500175645,0.0002936332500175645,7.991091392317637e-05,0.0020264957295788337,0.00017660625446817718,0.00020783225891040868,2.9882077076786346e-05,0.0002936332500175645,1e-05,3.053,EGM3
1e-05EGM4,16.961111111110466,23.89498907013823,2.082889880886283,0.0002936904101090669,0.00029361701421862284,7.991091392317638e-05,0.0020264278230869236,0.00017664063350959942,0.0002078125100112935,2.9880424813647383e-05,0.00029361701421862284,1e-05,3.053,EGM4
1e-05EGM5,16.961111111110466,23.89578980178211,2.0824844942203145,0.0002936332500175645,0.0002936332500175645,7.991091392317637e-05,0.0020264957295788337,0.00017660625446817718,0.00020777206408020848,3.0691929061556476e-05,0.0002936332500175645,1e-05,3.053,EGM5
1e-05EGM6,16.961111111110466,23.895789801782115,2.0824844942203145,0.0002936332500175645,0.0002936332500175645,7.991091392317637e-05,0.0020264957295788337,0.00017660625446817718,0.0002077720640802085,2.9882077076786346e-05,0.015261810585921128,1e-05,3.053,EGM6
1e-05EGM7,16.961111111110466,23.895789801782115,2.0824844942203145,0.0002936332500175645,0.0002936332500175645,8.480011321203629e-05,0.0020264957295788337,0.00017660625446817718,0.0002077720640802085,2.9882077076786346e-05,0.0002936332500175645,1e-05,3.053,EGM7
1e-05EGM8,16.961111111110466,23.895789801782115,2.0824844942203145,0.0002936332500175645,0.0002936332500175645,7.991091392317637e-05,0.0020271436111666498,0.00017660625446817718,0.0002077720640802085,2.9882077076786346e-05,0.0002936332500175645,1e-05,3.053,EGM8
0.005EGM1,16.97777777777713,23.931794151917998,2.0781906058561157,0.0002944973622368968,0.0002944973622368968,8.006803840877305e-05,0.0020315434146738506,0.00017641529143044577,0.0002075474016828774,2.9999464633197414e-05,0.0002944973622368968,0.005,3.056,EGM1
0.005EGM2,16.97777777777713,23.93214814081806,2.0780113917822334,0.0002944719660716532,0.0002944719660716532,8.006803840877306e-05,0.002031573464398256,0.00017668987325934407,0.0002075295037021655,2.999687761049793e-05,0.0002944719660716532,0.005,3.056,EGM2
0.005EGM3,16.97777777777713,23.93214814081806,2.0780113917822334,0.0002944719660716532,0.0002944719660716532,8.006803840877306e-05,0.002031573464398256,0.00017640007814684065,0.00020755642863400184,2.999687761049793e-05,0.0002944719660716532,0.005,3.056,EGM3
0.005EGM4,16.97777777777713,23.931789999200287,2.0781927082538423,0.0002944976601646148,0.00029446469718311195,8.006803840877305e-05,0.002031543062154258,0.00017641546990065278,0.0002075476116478268,2.9996137153051867e-05,0.00029446469718311195,0.005,3.056,EGM4
0.005EGM5,16.97777777777713,23.93214814081806,2.078011391782234,0.0002944719660716532,0.0002944719660716532,8.006803840877308e-05,0.002031573464398256,0.0001764000781468407,0.0002075295037021655,3.035912150112717e-05,0.0002944719660716532,0.005,3.056,EGM5
0.005EGM6,16.97777777777713,23.93214814081806,2.078011391782234,0.00029447196607165326,0.00029447196607165326,8.006803840877308e-05,0.002031573464398256,0.00017640007814684067,0.0002075295037021655,2.9996877610497934e-05,0.0003078623902374348,0.005,3.056,EGM6
0.005EGM7,16.97777777777713,23.93214814081806,2.0780113917822334,0.0002944719660716532,0.0002944719660716532,8.225495972990932e-05,0.002031573464398256,0.00017640007814684065,0.0002075295037021655,2.999687761049793e-05,0.0002944719660716532,0.005,3.056,EGM7
0.005EGM8,16.97777777777713,23.93214814081806,2.0780113917822334,0.0002944719660716532,0.0002944719660716532,8.006803840877306e-05,0.0020318632595107597,0.00017640007814684065,0.0002075295037021655,2.999687761049793e-05,0.0002944719660716532,0.005,3.056,EGM8
0.01EGM1,16.988888888888244,23.95902728135462,2.073692644367069,0.0002953441038947037,0.0002953441038947037,8.017287379971954e-05,0.0020351862618438786,0.00017614866962428486,0.0002072337289697469,3.010540899033232e-05,0.0002953441038947037,0.01,3.058,EGM1
0.01EGM2,16.98888888888824,23.961827400119173,2.072275027342748,0.0002951422008639671,0.0002951422008639671,8.017287379971954e-05,0.002035424116376712,0.0001783259901982474,0.00020709205992202226,3.0084828341399235e-05,0.0002951422008639671,0.01,3.058,EGM2
0.01EGM3,16.98888888888824,23.961827400119173,2.072275027342748,0.0002951422008639671,0.0002951422008639671,8.017287379971954e-05,0.002035424116376712,0.00017602825093371893,0.0002073055434157249,3.0084828341399235e-05,0.0002951422008639671,0.01,3.058,EGM3
0.01EGM4,16.98888888888824,23.958987354735903,2.0737128580291224,0.00029534698281020837,0.0002950845212121992,8.017287379971954e-05,0.002035182870299433,0.0001761503866625782,0.00020723574901479786,3.0078948862229022e-05,0.0002950845212121992,0.01,3.058,EGM4
0.01EGM5,16.98888888888824,23.961827400119173,2.072275027342748,0.0002951422008639671,0.0002951422008639671,8.017287379971954e-05,0.0020354241163767117,0.00017602825093371893,0.0002070920599220223,3.295700242205985e-05,0.0002951422008639671,0.01,3.058,EGM5
0.01EGM6,16.98888888888824,23.961827400119173,2.072275027342748,0.0002951422008639671,0.0002951422008639671,8.017287379971954e-05,0.002035424116376712,0.00017602825093371893,0.00020709205992202226,3.0084828341399235e-05,0.0003482274705026118,0.01,3.058,EGM6
0.01EGM7,16.98888888888824,23.961827400119173,2.072275027342748,0.0002951422008639671,0.0002951422008639671,9.751262444147867e-05,0.002035424116376712,0.00017602825093371893,0.00020709205992202226,3.0084828341399235e-05,0.0002951422008639671,0.01,3.058,EGM7
0.01EGM8,16.98888888888824,23.961827400119173,2.072275027342748,0.0002951422008639671,0.0002951422008639671,8.017287379971954e-05,0.0020377218556412403,0.00017602825093371893,0.00020709205992202226,3.0084828341399235e-05,0.0002951422008639671,0.01,3.058,EGM8
0.015EGM1,17.005555555554906,23.99591945727707,2.0689492761573725,0.00029616431262760357,0.00029616431262760357,8.033025548696231e-05,0.0020403197071867307,0.00017591815928659653,0.0002069625403371724,3.0218632031768662e-05,0.00029616431262760357,0.015,3.061,EGM1
0.015EGM2,17.005555555554906,23.998371587876996,2.0677078352126834,0.0002959866038223232,0.0002959866038223232,8.033025548696233e-05,0.0020405282064024635,0.0001778299685497928,0.000206838355672738,3.0200499810003225e-05,0.0002959866038223232,0.015,3.061,EGM2
0.015EGM3,17.005555555554906,23.998371587876996,2.0677078352126834,0.0002959866038223232,0.0002959866038223232,8.033025548696233e-05,0.0020405282064024635,0.0001758126023218273,0.00020702578964188858,3.0200499810003225e-05,0.0002959866038223232,0.015,3.061,EGM3
0.015EGM4,17.005555555554906,23.995878239395566,2.068970143547452,0.00029616729973623416,0.00029593591570277125,8.033025548696233e-05,0.002040316202521862,0.000175919933594403,0.00020696462775812117,3.0195327932204945e-05,0.00029593591570277125,0.015,3.061,EGM4
0.015EGM5,17.00555555555491,23.998371587876996,2.0677078352126834,0.00029598660382232323,0.00029598660382232323,8.033025548696233e-05,0.0020405282064024635,0.0001758126023218273,0.000206838355672738,3.272220759496014e-05,0.00029598660382232323,0.015,3.061,EGM5
0.015EGM6,17.005555555554906,23.998371587876996,2.0677078352126834,0.0002959866038223232,0.0002959866038223232,8.033025548696233e-05,0.0020405282064024635,0.0001758126023218273,0.000206838355672738,3.0200499810003225e-05,0.00032705842931174883,0.015,3.061,EGM6
0.015EGM7,17.005555555554906,23.998371587876996,2.0677078352126834,0.0002959866038223232,0.0002959866038223232,9.555418793484463e-05,0.0020405282064024635,0.0001758126023218273,0.000206838355672738,3.0200499810003225e-05,0.0002959866038223232,0.015,3.061,EGM7
0.015EGM8,17.005555555554906,23.998371587876996,2.0677078352126834,0.0002959866038223232,0.0002959866038223232,8.033025548696233e-05,0.002042545572630429,0.0001758126023218273,0.000206838355672738,3.0200499810003225e-05,0.0002959866038223232,0.015,3.061,EGM8
0.02EGM1,17.022222222221572,24.032850925725093,2.064186015308164,0.0002969900287331133,0.0002969900287331133,8.048779149519275e-05,0.0020454626454560797,0.0001756851653028881,0.00020668842976810366,3.0332581601274147e-05,0.0002969900287331133,0.02,3.064,EGM1
