,x,mu
0,1e-05,3.053
1,0.005,3.056
2,0.01,3.058
3,0.015,3.061
4,0.02,3.064
5,0.025,3.067
6,0.030000000000000002,3.07
7,0.034999999999999996,3.073
8,0.04,3.076
9,0.045,3.079
10,0.049999999999999996,3.082
11,0.055,3.085
12,0.06,3.088
13,0.065,3.091
14,0.07,3.094
15,0.07500000000000001,3.097
16,0.08,3.1
17,0.085,3.103
18,0.09000000000000001,3.106
19,0.095,3.109
20,0.1,3.113
21,0.10500000000000001,3.116
22,0.11,3.119
23,0.115,3.122
24,0.12000000000000001,3.125
25,0.125,3.129
26,0.13,3.132
27,0.135,3.135
28,0.14,3.138
29,0.14500000000000002,3.142
30,0.15,3.145
31,0.155,3.148
32,0.16,3.152
33,0.165,3.155
34,0.17,3.158
35,0.17500000000000002,3.162
36,0.18000000000000002,3.165
37,0.185,3.169
38,0.19,3.172
39,0.195,3.175
40,0.2,3.179
41,0.20500000000000002,3.182
42,0.21000000000000002,3.186
43,0.215,3.19
44,0.22,3.193
45,0.225,3.197
46,0.23,3.2
47,0.23500000000000001,3.204
48,0.24000000000000002,3.208
49,0.245,3.211
50,0.25,3.215
51,0.255,3.219
52,0.26,3.222
53,0.265,3.226
54,0.27,3.23
55,0.275,3.234
56,0.28,3.238
57,0.28500000000000003,3.242
58,0.29000000000000004,3.245
59,0.295,3.249
60,0.3,3.253
61,0.305,3.257
62,0.31,3.261
63,0.315,3.265
64,0.32,3.269
65,0.325,3.273
66,0.33,3.277
67,0.335,3.281
68,0.34,3.286
69,0.34500000000000003,3.29
70,0.35000000000000003,3.294
71,0.35500000000000004,3.298
72,0.36,3.302
73,0.365,3.307
74,0.37,3.311
75,0.375,3.315
76,0.38,3.32
77,0.385,3.324
78,0.39,3.328
79,0.395,3.333
80,0.4,3.337
81,0.405,3.342
82,0.41000000000000003,3.346
83,0.41500000000000004,3.351
84,0.42000000000000004,3.355
85,0.425,3.36
86,0.43,3.365
87,0.435,3.369
88,0.44,3.374
89,0.445,3.379
90,0.45,3.384
91,0.455,3.388
92,0.46,3.393
93,0.465,3.398
94,0.47000000000000003,3.403
95,0.47500000000000003,3.408
96,0.48000000000000004,3.413
97,0.485,3.418
98,0.49,3.423
99,0.495,3.428
100,0.5,3.433
101,0.505,3.439
102,0.51,3.444
103,0.515,3.449
104,0.52,3.454
105,0.525,3.46
106,0.53,3.465
107,0.535,3.471
108,0.54,3.476
109,0.545,3.482
110,0.55,3.487
111,0.555,3.493
112,0.56,3.498
113,0.5650000000000001,3.504
114,0.5700000000000001,3.51
115,0.5750000000000001,3.516
116,0.5800000000000001,3.522
117,0.585,3.527
118,0.59,3.533
119,0.595,3.539
120,0.6,3.545
121,0.605,3.551
122,0.61,3.558
123,0.615,3.564
124,0.62,3.57
125,0.625,3.576
126,0.63,3.583
127,0.635,3.589
128,0.64,3.596
129,0.645,3.602
130,0.65,3.609
131,0.655,3.615
132,0.66,3.622
133,0.665,3.629
134,0.67,3.636
135,0.675,3.643
136,0.68,3.65
137,0.685,3.657
138,0.6900000000000001,3.664
139,0.6950000000000001,3.671
140,0.7000000000000001,3.678
141,0.7050000000000001,3.685
142,0.71,3.693
143,0.715,3.7
144,0.72,3.708
145,0.725,3.715
146,0.73,3.723
147,0.735,3.731
148,0.74,3.739
149,0.745,3.747
150,0.75,3.755
151,0.755,3.763
152,0.76,3.771
153,0.765,3.779
154,0.77,3.788
155,0.775,3.796
156,0.78,3.805
157,0.785,3.813
158,0.79,3.822
159,0.795,3.831
160,0.8,3.84
161,0.805,3.849
162,0.81,3.858
163,0.8150000000000001,3.867
164,0.8200000000000001,3.877
165,0.8250000000000001,3.886
166,0.8300000000000001,3.896
167,0.8350000000000001,3.906
168,0.84,3.916
169,0.845,3.926
170,0.85,3.936
171,0.855,3.946
172,0.86,3.956
173,0.865,3.967
174,0.87,3.978
175,0.875,3.988
176,0.88,3.999
177,0.885,4.01
178,0.89,4.022
179,0.895,4.033
180,0.9,4.045
181,0.905,4.056
182,0.91,4.068
183,0.915,4.08
184,0.92,4.093
185,0.925,4.105
186,0.93,4.118
187,0.935,4.131
188,0.9400000000000001,4.144
189,0.9450000000000001,4.157
190,0.9500000000000001,4.17
191,0.9550000000000001,4.184
192,0.9600000000000001,4.198
193,0.965,4.212
194,0.97,4.227
195,0.975,4.241
196,0.98,4.256
197,0.985,4.271
198,0.99,4.287
199,0.995,4.302
200,0.99999,4.318
