,wIG,wEAA,wENT,wRNAP,wAF,wrP,x
1e-05EGM1,0.0023661015325695495,0.4527939903163834,0.039469281633074546,0.49977754625337484,0.005342615388006851,2.840436548387619e-06,1e-05
1e-05EGM2,0.002366557918046398,0.4528963649664079,0.03961407503765359,0.499777546253375,0.005342615388006852,2.8404365483876188e-06,1e-05
1e-05EGM3,0.002366557918046398,0.4528963649664079,0.03946928163307455,0.49992233965795396,0.005342615388006852,2.8404365483876188e-06,1e-05
1e-05EGM4,0.0023666887788503736,0.45290623116261036,0.03947914782927697,0.4999024764047453,0.0053426153880068526,2.840436548387619e-06,1e-05
1e-05EGM5,0.002366557918046398,0.4528963649664079,0.03946928163307455,0.4997775462533749,0.005487408792585878,2.8404365483876188e-06,1e-05
1e-05EGM6,0.002366557918046398,0.4528963649664079,0.03946928163307455,0.499777546253375,0.005342615388006852,0.0001476338411274143,1e-05
1e-05EGM7,0.0025113513226254253,0.4528963649664079,0.03946928163307455,0.499777546253375,0.005342615388006852,2.8404365483876188e-06,1e-05
1e-05EGM8,0.002366557918046398,0.45304115837098685,0.03946928163307455,0.499777546253375,0.005342615388006852,2.8404365483876188e-06,1e-05
0.005EGM1,0.002366576770265287,0.4531370972033583,0.03934954699154708,0.49826141312735445,0.0053531202821867465,0.0014216138375159784,0.005
0.005EGM2,0.0023667808711021884,0.45318288032488047,0.039414191556998344,0.4982614131273544,0.005353120282186746,0.0014216138375159784,0.005
0.005EGM3,0.0023667808711021884,0.45318288032488047,0.03934954699154707,0.4983260576928057,0.005353120282186746,0.0014216138375159784,0.005
0.005EGM4,0.0023668392953089547,0.45318728519379015,0.03935395186045678,0.49831718953077947,0.005353120282186746,0.0014216138375159782,0.005
0.005EGM5,0.0023667808711021893,0.45318288032488047,0.03934954699154708,0.4982614131273544,0.005417764847638017,0.0014216138375159784,0.005
0.005EGM6,0.002366780871102189,0.45318288032488035,0.039349546991547066,0.4982614131273543,0.005353120282186746,0.0014862584029672493,0.005
0.005EGM7,0.0024314254365534593,0.45318288032488047,0.03934954699154707,0.4982614131273544,0.005353120282186746,0.0014216138375159784,0.005
0.005EGM8,0.0023667808711021884,0.4532475248903318,0.03934954699154707,0.4982614131273544,0.005353120282186746,0.0014216138375159784,0.005
0.01EGM1,0.002364428005920753,0.452944413973437,0.039203073168785324,0.4964066966313523,0.005360129276895739,0.002845088426128181,0.01
0.01EGM2,0.002366045481086814,0.45330723983545207,0.03971480034912309,0.49640669663135223,0.00536012927689574,0.002845088426128181,0.01
0.01EGM3,0.002366045481086814,0.45330723983545207,0.039203073168785324,0.49691842381169016,0.00536012927689574,0.002845088426128181,0.01
0.01EGM4,0.0023665079678307998,0.45334210883226844,0.039237942165601836,0.4968482233313129,0.005360129276895738,0.002845088426128181,0.01
0.01EGM5,0.002366045481086814,0.4533072398354519,0.039203073168785324,0.49640669663135234,0.005871856457233509,0.002845088426128181,0.01
0.01EGM6,0.002366045481086814,0.45330723983545207,0.039203073168785324,0.49640669663135223,0.00536012927689574,0.0033568156064659525,0.01
0.01EGM7,0.002877772661424584,0.45330723983545207,0.039203073168785324,0.49640669663135223,0.00536012927689574,0.002845088426128181,0.01
0.01EGM8,0.002366045481086814,0.4538189670157898,0.039203073168785324,0.49640669663135223,0.00536012927689574,0.002845088426128181,0.01
0.015EGM1,0.0023648261553837245,0.45327357194225654,0.03908164595404984,0.4948691313928193,0.005370651366842828,0.004271819329158779,0.015
0.015EGM2,0.002366245984610257,0.4535920626207165,0.039530089305890366,0.49486913139281935,0.005370651366842828,0.004271819329158778,0.015
0.015EGM3,0.002366245984610257,0.4535920626207165,0.039081645954049844,0.4953175747446598,0.005370651366842828,0.004271819329158778,0.015
0.015EGM4,0.0023666512769488783,0.4536226194689914,0.039112202802324726,0.49525605575577153,0.005370651366842829,0.004271819329158778,0.015
0.015EGM5,0.0023662459846102565,0.45359206262071644,0.03908164595404984,0.49486913139281924,0.0058190947186833545,0.004271819329158777,0.015
0.015EGM6,0.002366245984610257,0.4535920626207165,0.039081645954049844,0.49486913139281935,0.005370651366842828,0.004720262680999307,0.015
0.015EGM7,0.0028146893364507848,0.4535920626207165,0.039081645954049844,0.49486913139281935,0.005370651366842828,0.004271819329158778,0.015
0.015EGM8,0.002366245984610257,0.454040505972557,0.039081645954049844,0.49486913139281935,0.005370651366842828,0.004271819329158778,0.015
0.02EGM1,0.002365191836221867,0.4535968345545001,0.03895951609607883,0.49332266897405885,0.005381183774250236,0.005701341358833713,0.02
0.02EGM2,0.0023664371685887804,0.45387618276274566,0.03935218596156119,0.4933226689740589,0.005381183774250236,0.005701341358833716,0.02
0.02EGM3,0.0023664371685887804,0.45387618276274566,0.03895951609607884,0.4937153388395412,0.005381183774250236,0.005701341358833716,0.02
0.02EGM4,0.0023667920541890104,0.45390293921582364,0.03898627254915684,0.49366147104778496,0.005381183774250235,0.005701341358833714,0.02
0.02EGM5,0.0023664371685887804,0.45387618276274566,0.03895951609607884,0.49332266897405885,0.0057738536397325905,0.005701341358833716,0.02
0.02EGM6,0.00236643716858878,0.45387618276274555,0.03895951609607884,0.49332266897405885,0.005381183774250235,0.006094011224316067,0.02
0.02EGM7,0.0027591070340711337,0.45387618276274566,0.03895951609607884,0.4933226689740589,0.005381183774250236,0.005701341358833716,0.02
0.02EGM8,0.0023664371685887804,0.45426885262822797,0.03895951609607884,0.4933226689740589,0.005381183774250236,0.005701341358833716,0.02
0.025EGM1,0.002365524861331131,0.4539141620980509,0.03883668245153672,0.49176729489764875,0.00539172649911796,0.007133654515152987,0.025
0.025EGM2,0.002366619017857691,0.45415959911820347,0.03918110595205763,0.4917672948976488,0.005391726499117959,0.007133654515152987,0.025
0.025EGM3,0.002366619017857691,0.45415959911820347,0.03883668245153673,0.49211171839816964,0.005391726499117959,0.007133654515152987,0.025
0.025EGM4,0.002366930299551196,0.4541830680727648,0.03886015140609816,0.49206446920735325,0.005391726499117959,0.007133654515152988,0.025
0.025EGM5,0.002366619017857691,0.45415959911820347,0.03883668245153673,0.4917672948976488,0.005736149999638868,0.007133654515152987,0.025
0.025EGM6,0.002366619017857691,0.45415959911820347,0.03883668245153673,0.4917672948976488,0.00539172649911796,0.007478078015673895,0.025
0.025EGM7,0.002711042518378598,0.45415959911820347,0.03883668245153673,0.4917672948976488,0.005391726499117959,0.007133654515152987,0.025
0.025EGM8,0.002366619017857691,0.45450402261872436,0.03883668245153673,0.4917672948976488,0.005391726499117959,0.007133654515152987,0.025
0.03EGM1,0.0023658250429168973,0.4542255147058861,0.038713143877087915,0.4902029946861666,0.005402279541446,0.008568758798116595,0.03
0.03EGM2,0.0023667915172522988,0.4544423105437545,0.0390168649133022,0.4902029946861667,0.005402279541446,0.008568758798116596,0.03
0.03EGM3,0.0023667915172522988,0.4544423105437545,0.038713143877087915,0.49050671572238097,0.005402279541446,0.008568758798116596,0.03
0.03EGM4,0.002367066013035435,0.45446300603981526,0.03873383937314867,0.49046505023447634,0.005402279541446,0.008568758798116596,0.03
0.03EGM5,0.0023667915172522988,0.45444231054375456,0.038713143877087915,0.4902029946861667,0.00570600057766029,0.008568758798116596,0.03
0.03EGM6,0.0023667915172522983,0.4544423105437545,0.038713143877087915,0.4902029946861666,0.005402279541446,0.008872479834330883,0.03
0.03EGM7,0.0026705125534665884,0.4544423105437545,0.038713143877087915,0.4902029946861667,0.005402279541446,0.008568758798116596,0.03
0.03EGM8,0.0023667915172522988,0.4547460315799689,0.038713143877087915,0.4902029946861667,0.005402279541446,0.008568758798116596,0.03
0.035EGM1,0.002366092192491558,0.4545308523555339,0.03858889922939685,0.4886297538621907,0.005412842901234359,0.010006654207724546,0.035
0.035EGM2,0.0023669546516079144,0.45472431589606366,0.03885947848121743,0.48862975386219065,0.00541284290123436,0.010006654207724544,0.035
0.035EGM3,0.0023669546516079144,0.45472431589606366,0.038588899229396845,0.4889003331140113,0.00541284290123436,0.010006654207724544,0.035
0.035EGM4,0.002367199194641728,0.4547427531169751,0.03860733645030843,0.4888632141291543,0.005412842901234359,0.010006654207724544,0.035
0.035EGM5,0.002366954651607914,0.45472431589606355,0.03858889922939685,0.48862975386219054,0.005683422153054935,0.010006654207724544,0.035
0.035EGM6,0.0023669546516079144,0.45472431589606366,0.03858889922939686,0.48862975386219076,0.005412842901234362,0.010277233459545121,0.035
0.035EGM7,0.002637533903428489,0.45472431589606366,0.038588899229396845,0.48862975386219065,0.00541284290123436,0.010006654207724544,0.035
0.035EGM8,0.0023669546516079144,0.45499489514788416,0.038588899229396845,0.48862975386219065,0.00541284290123436,0.010006654207724544,0.035
0.04EGM1,0.0023663261208720808,0.45483013486852797,0.03846394736512791,0.48704755794829846,0.005423416578483036,0.01144734074397683,0.04
0.04EGM2,0.002367108405759846,0.4550056140317945,0.038708962291725726,0.4870475579482985,0.005423416578483036,0.011447340743976832,0.04
0.04EGM3,0.002367108405759846,0.4550056140317945,0.03846394736512792,0.48729257287489647,0.005423416578483036,0.011447340743976832,0.04
0.04EGM4,0.002367329844370074,0.45502230930424403,0.03848064263757738,0.48725896089138715,0.005423416578483034,0.01144734074397683,0.04
0.04EGM5,0.002367108405759846,0.4550056140317947,0.038463947365127926,0.4870475579482985,0.005668431505080839,0.011447340743976832,0.04
0.04EGM6,0.002367108405759846,0.4550056140317945,0.03846394736512792,0.4870475579482986,0.005423416578483037,0.011692355670574634,0.04
0.04EGM7,0.0026121233323576484,0.4550056140317945,0.03846394736512792,0.4870475579482985,0.005423416578483036,0.011447340743976832,0.04
0.04EGM8,0.002367108405759846,0.45525062895839247,0.03846394736512792,0.4870475579482985,0.005423416578483036,0.011447340743976832,0.04
0.045EGM1,0.002366526638177571,0.4551233219098602,0.03833828714094555,0.48545639246706807,0.00543400057319203,0.012890818406873452,0.045
0.045EGM2,0.002367252764543403,0.4552862038076122,0.03856533198074952,0.4854563924670679,0.00543400057319203,0.012890818406873452,0.045
0.045EGM3,0.002367252764543403,0.4552862038076122,0.038338287140945546,0.48568343730687197,0.00543400057319203,0.012890818406873452,0.045
0.045EGM4,0.002367457962220475,0.45530167460162224,0.03835375793495557,0.4856522905211749,0.0054340005731920325,0.012890818406873453,0.045
0.045EGM5,0.002367252764543403,0.4552862038076122,0.03833828714094554,0.4854563924670679,0.005661045412996009,0.012890818406873452,0.045
0.045EGM6,0.002367252764543403,0.4552862038076122,0.03833828714094554,0.4854563924670679,0.00543400057319203,0.013117863246677429,0.045
0.045EGM7,0.002594297604347382,0.4552862038076122,0.038338287140945546,0.4854563924670679,0.00543400057319203,0.012890818406873452,0.045
0.045EGM8,0.002367252764543403,0.45551324864741616,0.038338287140945546,0.4854563924670679,0.00543400057319203,0.012890818406873452,0.045
0.05EGM1,0.002366693553826819,0.45541037298743,0.03821191741351415,0.4838562429410768,0.005444594885361341,0.014337087196414413,0.05
0.05EGM2,0.0023673877127938945,0.4555660840801808,0.038428603184211395,0.4838562429410767,0.005444594885361341,0.014337087196414411,0.05
0.05EGM3,0.0023673877127938945,0.4555660840801808,0.038211917413514145,0.48407292871177404,0.005444594885361341,0.014337087196414411,0.05
0.05EGM4,0.0023675835481929293,0.4555808490091095,0.03822668234244295,0.48404320301851733,0.005444594885361341,0.014337087196414413,0.05
0.05EGM5,0.0023673877127938954,0.4555660840801808,0.038211917413514145,0.4838562429410768,0.005661280656058595,0.014337087196414411,0.05
0.05EGM6,0.002367387712793895,0.45556608408018084,0.03821191741351415,0.48385624294107693,0.005444594885361343,0.01455377296711167,0.05
0.05EGM7,0.0025840734834911483,0.4555660840801808,0.038211917413514145,0.4838562429410767,0.005444594885361341,0.014337087196414411,0.05
0.05EGM8,0.0023673877127938945,0.45578276985087807,0.038211917413514145,0.4838562429410767,0.005444594885361341,0.014337087196414411,0.05
0.055EGM1,0.0023668266765358406,0.45569124745149325,0.03808483703949813,0.48224709489290307,0.005455199514990969,0.01578614711259971,0.055
0.055EGM2,0.0023675132353466314,0.45584525370616485,0.03829879153803356,0.482247094892903,0.005455199514990969,0.01578614711259971,0.055
0.055EGM3,0.0023675132353466314,0.45584525370616485,0.03808483703949812,0.4824610493914384,0.005455199514990969,0.01578614711259971,0.055
0.055EGM4,0.0023677066022874367,0.4558598325267062,0.03809941586003955,0.4824316983834149,0.005455199514990971,0.01578614711259971,0.055
0.055EGM5,0.002367513235346632,0.45584525370616485,0.03808483703949813,0.48224709489290307,0.005669154013526402,0.015786147112599715,0.055
0.055EGM6,0.002367513235346632,0.45584525370616485,0.038084837039498144,0.48224709489290307,0.005455199514990972,0.01600010161113514,0.055
0.055EGM7,0.0025814677338820632,0.45584525370616485,0.03808483703949812,0.482247094892903,0.005455199514990969,0.01578614711259971,0.055
0.055EGM8,0.0023675132353466314,0.45605920820470025,0.03808483703949812,0.482247094892903,0.005455199514990969,0.01578614711259971,0.055
0.06EGM1,0.0023669258143153974,0.4559659044941067,0.03795704487556192,0.4806289338451243,0.005465814462080916,0.01723799815542935,0.06
0.06EGM2,0.0023676293170369206,0.45612371154222847,0.03817591267813867,0.48062893384512434,0.005465814462080916,0.017237998155429344,0.06
