,G,AA,NT,rRNA,rP,IG,EAA,ENT,RNAP,AF,R,mu,EGVs,x
1e-05EGM1,-3.991813122247754e-17,-1.023619499781252e-16,7.19191664191637e-17,0.0,0.0,0.0024177646604935607,0.35225711912053553,0.09623521953485885,0.008123820161277495,0.013026529581534309,0.527939546941245,4.005,EGM1,1e-05
1e-05EGM2,3.991813122247754e-17,-4.943559898986799e-17,0.0,0.0,0.0,0.0024177646604935607,0.35229837243173967,0.09631313176560881,0.008122057099458105,0.01302370251538951,0.527824971527255,4.005,EGM2,1e-05
1e-05EGM3,-3.991813122247754e-17,-1.4914776427268168e-16,0.0,0.0,0.0,0.00241776466049356,0.35229837243173967,0.09621433420777452,0.00822085465729241,0.01302370251538951,0.527824971527255,4.005,EGM3,1e-05
1e-05EGM4,0.0,-1.0783561435429766e-17,-7.19191664191637e-17,0.00025830964281243747,0.0,0.0024177646604935607,0.3522544566912886,0.09623656744376695,0.008123933946746228,0.013020338367444668,0.5276886292473925,4.005,EGM4,1e-05
1e-05EGM5,3.991813122247754e-17,-1.0382331508987689e-16,0.0,0.0,0.0,0.0024177646604935607,0.3522983724317397,0.09621433420777452,0.008122057099458105,0.013122500073223818,0.527824971527255,4.005,EGM5,1e-05
1e-05EGM6,3.991813122247754e-17,-5.3904528746047606e-17,0.0,0.0,9.879755783430587e-05,0.0024177646604935607,0.35229837243173967,0.09621433420777452,0.008122057099458105,0.01302370251538951,0.527824971527255,4.005,EGM6,1e-05
1e-05EGM7,3.991813122247754e-17,1.0996016333049397e-17,0.0,0.0,0.0,0.002516562218327867,0.35229837243173967,0.09621433420777452,0.008122057099458105,0.01302370251538951,0.527824971527255,4.005,EGM7,1e-05
1e-05EGM8,3.991813122247754e-17,-3.7349275925284514e-17,0.0,0.0,0.0,0.0024177646604935607,0.352397169989574,0.09621433420777452,0.008122057099458105,0.01302370251538951,0.527824971527255,4.005,EGM8,1e-05
0.005EGM1,-8.001607384685814e-17,1.2492092778956107e-17,0.0,0.0,0.0,0.0024123314814812158,0.35214946997373403,0.09567270214982118,0.008076334530801192,0.013015333631155574,0.5286738282329518,3.996,EGM1,0.005
0.005EGM2,-8.001607384685814e-17,-6.094627083066464e-17,-7.208114652371137e-17,0.0,0.0,0.0024123314814812158,0.3521561430900274,0.09568544238874382,0.008076049338747275,0.013014874032841938,0.5286551596681033,3.996,EGM2,0.005
0.005EGM3,4.000803692342907e-17,-1.5444769253982096e-16,7.208114652371137e-17,0.0,0.0,0.0024123314814812158,0.3521561430900274,0.0956693237490967,0.0080921679783944,0.013014874032841938,0.5286551596681032,3.996,EGM3,0.005
0.005EGM4,4.000803692342907e-17,-1.1242883501060495e-16,-7.208114652371137e-17,4.224678703959262e-05,0.0,0.0024123314814812158,0.35214894933211566,0.09567296573522015,0.008076356781702565,0.013014324196230324,0.5286328256861554,3.996,EGM4,0.005
0.005EGM5,-8.001607384685814e-17,-4.8832726317737507e-17,-7.208114652371137e-17,0.0,0.0,0.0024123314814812158,0.3521561430900274,0.09566932374909669,0.008076049338747275,0.013030992672489063,0.5286551596681033,3.996,EGM5,0.005
0.005EGM6,-8.001607384685814e-17,3.78548266028973e-17,0.0,0.0,1.611863964712452e-05,0.0024123314814812158,0.35215614309002735,0.0956693237490967,0.008076049338747275,0.013014874032841938,0.5286551596681032,3.996,EGM6,0.005
0.005EGM7,-8.001607384685814e-17,-9.728690436944604e-17,-7.208114652371137e-17,0.0,0.0,0.00242845012112834,0.3521561430900274,0.0956693237490967,0.008076049338747275,0.013014874032841938,0.5286551596681033,3.996,EGM7,0.005
0.005EGM8,-8.001607384685814e-17,-3.7854826602897296e-19,-7.208114652371137e-17,0.0,0.0,0.0024123314814812158,0.3521722617296745,0.0956693237490967,0.008076049338747275,0.013014874032841938,0.5286551596681033,3.996,EGM8,0.005
