,vIG,vEAA,vENT,vRNAP,vAF,wIG,wEAA,wENT,wRNAP,wAF,wrP,x,mu,EGVs
1e-05EGM1,22.249999999998774,23.864984781632515,6.5198172726513475,0.0009193034284781245,0.0009193034284781245,0.00013751736111109595,0.002654979556956471,0.0007253296715824223,8.53329025391085e-05,0.00012272700770182287,0.0009193034284781245,1e-05,4.005,EGM1
1e-05EGM2,22.249999999998774,23.867779642518613,6.518402317534836,0.0009191039178115899,0.0009191039178115899,0.00013751736111109595,0.002655290485230049,0.000725916899969444,8.531438327361299e-05,0.00012270037302784047,0.0009191039178115899,1e-05,4.005,EGM2
1e-05EGM3,22.24999999999877,23.86777964251861,6.518402317534836,0.0009191039178115899,0.0009191039178115899,0.00013751736111109592,0.002655290485230049,0.0007251722578257105,8.635215641560866e-05,0.00012270037302784047,0.0009191039178115899,1e-05,4.005,EGM3
1e-05EGM4,22.249999999998774,23.864804405339143,6.5199085918151996,0.0009193163046089892,0.0009188665044068725,0.00013751736111109595,0.0026549594900938333,0.0007253398308394008,8.533409774581187e-05,0.00012266867833831072,0.0009188665044068725,1e-05,4.005,EGM4
1e-05EGM5,22.249999999998774,23.867779642518613,6.518402317534836,0.0009191039178115897,0.0009191039178115897,0.00013751736111109595,0.0026552904852300495,0.0007251722578257105,8.531438327361299e-05,0.00012363117570750738,0.0009191039178115897,1e-05,4.005,EGM5
1e-05EGM6,22.249999999998774,23.867779642518613,6.518402317534836,0.0009191039178115899,0.0009191039178115899,0.00013751736111109595,0.002655290485230049,0.0007251722578257105,8.531438327361299e-05,0.00012270037302784047,0.0181227656189592,1e-05,4.005,EGM6
1e-05EGM7,22.249999999998774,23.867779642518613,6.518402317534836,0.0009191039178115899,0.0009191039178115899,0.00014313675809360504,0.002655290485230049,0.0007251722578257105,8.531438327361299e-05,0.00012270037302784047,0.0009191039178115899,1e-05,4.005,EGM7
1e-05EGM8,22.249999999998774,23.867779642518613,6.518402317534836,0.0009191039178115899,0.0009191039178115899,0.00013751736111109595,0.0026560351273737827,0.0007251722578257105,8.531438327361299e-05,0.00012270037302784047,0.0009191039178115899,1e-05,4.005,EGM8
0.005EGM1,22.199999999998777,23.857691684883786,6.481707414525998,0.0009185133120082067,0.0009185133120082067,0.00013689999999998492,0.0026482037770219546,0.0007194695230123461,8.464347329557013e-05,0.0001223459731594864,0.0009185133120082067,0.005,3.996,EGM1
0.005EGM2,22.199999999998777,23.85814378027134,6.48147853204925,0.0009184808774059742,0.0009184808774059742,0.00013689999999998492,0.0026482539596099732,0.0007195653310476035,8.464048435969732e-05,0.00012234165287046902,0.0009184808774059742,0.005,3.996,EGM2
0.005EGM3,22.199999999998777,23.858143780271337,6.481478532049251,0.0009184808774059741,0.0009184808774059741,0.00013689999999998492,0.0026482539596099732,0.0007194441170574272,8.480941466333062e-05,0.00012234165287046902,0.0009184808774059741,0.005,3.996,EGM3
0.005EGM4,22.199999999998777,23.857656412057135,6.481725272111248,0.000918515842580589,0.0009184420745399466,0.00013689999999998492,0.002648199861738197,0.000719471505204309,8.464370649462459e-05,0.00012233648432871414,0.0009184420745399466,0.005,3.996,EGM4
0.005EGM5,22.199999999998777,23.85814378027134,6.48147853204925,0.0009184808774059742,0.0009184808774059742,0.00013689999999998492,0.0026482539596099732,0.0007194441170574271,8.464048435969732e-05,0.00012249317035818936,0.0009184808774059742,0.005,3.996,EGM5
0.005EGM6,22.199999999998777,23.85814378027134,6.48147853204925,0.0009184808774059741,0.0009184808774059741,0.00013689999999998492,0.002648253959609973,0.0007194441170574272,8.464048435969732e-05,0.00012234165287046902,0.0009240817542781402,0.005,3.996,EGM6
0.005EGM7,22.199999999998777,23.85814378027134,6.48147853204925,0.0009184808774059742,0.0009184808774059742,0.00013781473405897758,0.0026482539596099732,0.0007194441170574272,8.464048435969732e-05,0.00012234165287046902,0.0009184808774059742,0.005,3.996,EGM7
0.005EGM8,22.199999999998777,23.85814378027134,6.48147853204925,0.0009184808774059742,0.0009184808774059742,0.00013689999999998492,0.002648375173600149,0.0007194441170574272,8.464048435969732e-05,0.00012234165287046902,0.0009184808774059742,0.005,3.996,EGM8
