,wIG,wEAA,wENT,wRNAP,wAF,wrP,x
1e-05EGM1,0.005119315468593281,0.7458605662917316,0.20376608858519016,0.01720117714319144,0.027582053571427054,1.1178462210572303e-05,1e-05
1e-05EGM2,0.005120426722741529,0.7461098385851901,0.20397532551529446,0.017201177143191432,0.027582053571427047,1.1178462210572303e-05,1e-05
1e-05EGM3,0.005120426722741528,0.7461098385851901,0.20376608858519016,0.01741041407329575,0.027582053571427047,1.1178462210572303e-05,1e-05
1e-05EGM4,0.005121749720082299,0.746209585422615,0.20386583542261488,0.017209597401105444,0.02758205357142705,1.1178462210572303e-05,1e-05
1e-05EGM5,0.005120426722741531,0.7461098385851903,0.20376608858519019,0.017201177143191436,0.027791290501531375,1.1178462210572303e-05,1e-05
1e-05EGM6,0.005120426722741529,0.7461098385851901,0.20376608858519016,0.017201177143191432,0.027582053571427047,0.00022041539231489044,1e-05
1e-05EGM7,0.005329663652845848,0.7461098385851901,0.20376608858519016,0.017201177143191432,0.027582053571427047,1.1178462210572303e-05,1e-05
1e-05EGM8,0.005120426722741529,0.7463190755152944,0.20376608858519016,0.017201177143191432,0.027582053571427047,1.1178462210572303e-05,1e-05
0.005EGM1,0.0050892548040414294,0.7429237629913276,0.20183907674770926,0.01703850595386997,0.027458228571427056,0.005576671035386631,0.005
0.005EGM2,0.0050894345224866255,0.7429640767477094,0.20187308316917554,0.017038505953869975,0.027458228571427056,0.005576671035386631,0.005
0.005EGM3,0.0050894345224866255,0.7429640767477094,0.20183907674770926,0.017072512375336243,0.027458228571427056,0.005576671035386631,0.005
0.005EGM4,0.005089649543827009,0.7429802881927525,0.20185528819275245,0.017039874463909453,0.02745822857142706,0.005576671035386631,0.005
0.005EGM5,0.0050894345224866255,0.7429640767477094,0.20183907674770923,0.017038505953869975,0.027492234992893327,0.005576671035386631,0.005
0.005EGM6,0.0050894345224866255,0.7429640767477091,0.20183907674770926,0.017038505953869975,0.027458228571427056,0.005610677456852899,0.005
0.005EGM7,0.005123440943952893,0.7429640767477094,0.20183907674770926,0.017038505953869975,0.027458228571427056,0.005576671035386631,0.005
0.005EGM8,0.0050894345224866255,0.7429980831691756,0.20183907674770926,0.017038505953869975,0.027458228571427056,0.005576671035386631,0.005
0.01EGM1,0.005055494087923837,0.7393369737524036,0.19982093852019622,0.016868142212818012,0.027320971957670456,0.011125430804329888,0.01
0.01EGM2,0.005056629976084185,0.7395917718535295,0.20003705319562287,0.016868142212818012,0.027320971957670463,0.011125430804329886,0.01
0.01EGM3,0.005056629976084185,0.7395917718535295,0.19982093852019617,0.017084256888244647,0.027320971957670463,0.011125430804329886,0.01
0.01EGM4,0.005057996461153278,0.7396947974302485,0.19992396409691507,0.016876839249737773,0.027320971957670456,0.01112543080432989,0.01
0.01EGM5,0.005056629976084184,0.7395917718535294,0.19982093852019617,0.016868142212818012,0.027537086633097094,0.011125430804329886,0.01
0.01EGM6,0.005056629976084185,0.7395917718535295,0.19982093852019617,0.016868142212818012,0.027320971957670463,0.011341545479756524,0.01
0.01EGM7,0.005272744651510822,0.7395917718535295,0.1998209385201962,0.016868142212818012,0.027320971957670463,0.011125430804329886,0.01
0.01EGM8,0.005056629976084185,0.7398078865289563,0.1998209385201962,0.016868142212818012,0.027320971957670463,0.011125430804329886,0.01
0.015EGM1,0.005025725169277566,0.7364240675495518,0.19791496030670017,0.01670724660399004,0.02719773505290856,0.01665046599679627,0.015
0.015EGM2,0.005025916756389639,0.7364670436400336,0.1979515919499367,0.016707246603990037,0.027197735052908564,0.016650465996796274,0.015
0.015EGM3,0.0050259167563896385,0.7364670436400336,0.1979149603067002,0.016743878247226535,0.027197735052908567,0.01665046599679627,0.015
0.015EGM4,0.005026148376909811,0.7364845065733728,0.19793242324003943,0.01670872076002794,0.027197735052908564,0.016650465996796274,0.015
0.015EGM5,0.005025916756389639,0.7364670436400336,0.19791496030670017,0.016707246603990037,0.027234366696145065,0.016650465996796274,0.015
0.015EGM6,0.005025916756389639,0.7364670436400335,0.1979149603067002,0.016707246603990037,0.027197735052908567,0.016687097640032764,0.015
0.015EGM7,0.005062548399626137,0.7364670436400336,0.19791496030670017,0.016707246603990037,0.027197735052908564,0.016650465996796274,0.015
0.015EGM8,0.005025916756389639,0.73650367528327,0.19791496030670017,0.016707246603990037,0.027197735052908564,0.016650465996796274,0.015
0.02EGM1,0.004992286838549862,0.7328612148179905,0.1959213153127903,0.016538950490838984,0.027061131878305403,0.022144798796174942,0.02
0.02EGM2,0.004993437077258788,0.7331192319794572,0.19614244977801953,0.016538950490838988,0.027061131878305403,0.022144798796174946,0.02
0.02EGM3,0.004993437077258788,0.733119231979457,0.19592131531279028,0.016760084956068177,0.027061131878305403,0.022144798796174946,0.02
0.02EGM4,0.004994835302272434,0.7332246505761705,0.19602673390950373,0.01654784953762761,0.027061131878305403,0.02214479879617494,0.02
0.02EGM5,0.004993437077258788,0.733119231979457,0.19592131531279028,0.016538950490838984,0.027282266343534593,0.022144798796174946,0.02
0.02EGM6,0.004993437077258789,0.7331192319794573,0.19592131531279033,0.016538950490838988,0.027061131878305406,0.022365933261404142,0.02
0.02EGM7,0.005214571542487981,0.7331192319794572,0.19592131531279028,0.016538950490838988,0.027061131878305403,0.022144798796174946,0.02
0.02EGM8,0.004993437077258788,0.7333403664446861,0.19592131531279028,0.016538950490838988,0.027061131878305403,0.022144798796174946,0.02
0.025EGM1,0.004962797351922452,0.729965680840251,0.1940382756505767,0.01637999126939891,0.0269384830687816,0.027618198145721085,0.025
0.025EGM2,0.004963028104226404,0.7300174423172433,0.19408285709468306,0.01637999126939891,0.026938483068781598,0.027618198145721085,0.025
0.025EGM3,0.004963028104226404,0.7300174423172434,0.1940382756505767,0.016424572713505267,0.026938483068781598,0.027618198145721085,0.025
0.025EGM4,0.004963309991042326,0.7300386950571647,0.194059528390498,0.016381785346846745,0.0269384830687816,0.02761819814572108,0.025
0.025EGM5,0.004963028104226405,0.7300174423172434,0.19403827565057677,0.01637999126939891,0.026983064512887966,0.027618198145721085,0.025
0.025EGM6,0.004963028104226404,0.7300174423172434,0.1940382756505767,0.01637999126939891,0.026938483068781598,0.02766277958982744,0.025
0.025EGM7,0.0050076095483327625,0.7300174423172433,0.1940382756505767,0.01637999126939891,0.026938483068781598,0.027618198145721085,0.025
0.025EGM8,0.004963028104226404,0.7300620237613497,0.1940382756505767,0.01637999126939891,0.026938483068781598,0.027618198145721085,0.025
0.03EGM1,0.0049296782759395,0.7264263436517139,0.19206898148147106,0.016213750762526354,0.02680253333333188,0.03305810397553517,0.03
0.03EGM2,0.0049308714035206655,0.726693981481471,0.19230075904366908,0.016213750762526357,0.02680253333333188,0.033058103975535165,0.03
0.03EGM3,0.004930871403520667,0.726693981481471,0.19206898148147108,0.016445528324724425,0.026802533333331883,0.033058103975535165,0.03
0.03EGM4,0.004932336924441304,0.726804473825264,0.19217947382526404,0.016223078116217766,0.026802533333331876,0.03305810397553517,0.03
0.03EGM5,0.0049308714035206655,0.7266939814814709,0.19206898148147103,0.016213750762526354,0.027034310895529944,0.033058103975535165,0.03
0.03EGM6,0.0049308714035206655,0.7266939814814709,0.19206898148147103,0.016213750762526354,0.02680253333333188,0.03328988153773323,0.03
0.03EGM7,0.005162648965718735,0.726693981481471,0.19206898148147103,0.016213750762526357,0.02680253333333188,0.033058103975535165,0.03
0.03EGM8,0.0049308714035206655,0.7269257590436691,0.19206898148147103,0.016213750762526357,0.02680253333333188,0.033058103975535165,0.03
0.035EGM1,0.004900465596228714,0.723547855265691,0.19020874761657475,0.016056716721877008,0.026680472619046176,0.03847986748216107,0.035
0.035EGM2,0.0049007649163613585,0.7236149976165748,0.19026718064403386,0.016056716721877008,0.02668047261904618,0.03847986748216107,0.035
0.035EGM3,0.0049007649163613585,0.7236149976165748,0.19020874761657477,0.016115149749336102,0.02668047261904618,0.03847986748216107,0.035
0.035EGM4,0.0049011343862245555,0.7236428536441282,0.19023660364412828,0.01605906822436587,0.02668047261904617,0.03847986748216107,0.035
0.035EGM5,0.0049007649163613585,0.7236149976165748,0.1902087476165748,0.016056716721877008,0.026738905646505266,0.03847986748216107,0.035
0.035EGM6,0.004900764916361357,0.7236149976165746,0.1902087476165747,0.016056716721877,0.026680472619046165,0.03853830050962015,0.035
0.035EGM7,0.0049591979438204535,0.7236149976165748,0.1902087476165748,0.016056716721877008,0.02668047261904618,0.03847986748216107,0.035
0.035EGM8,0.0049007649163613585,0.7236734306440339,0.1902087476165748,0.016056716721877008,0.02668047261904618,0.03847986748216107,0.035
0.04EGM1,0.004867662700740849,0.7200316253062544,0.1882636618634744,0.015892519799660536,0.02654517632274989,0.04386534634241056,0.04
0.04EGM2,0.004868929305234259,0.7203157451968079,0.18851228303319106,0.015892519799660533,0.02654517632274989,0.04386534634241057,0.04
0.04EGM3,0.004868929305234259,0.7203157451968076,0.18826366186347443,0.016141140969377174,0.026545176322749886,0.04386534634241056,0.04
0.04EGM4,0.00487050132765989,0.7204342671775292,0.18838218384419603,0.015902524985508242,0.026545176322749883,0.04386534634241056,0.04
0.04EGM5,0.004868929305234259,0.7203157451968076,0.18826366186347443,0.015892519799660533,0.02679379749246653,0.04386534634241056,0.04
0.04EGM6,0.004868929305234259,0.7203157451968076,0.18826366186347437,0.015892519799660533,0.026545176322749886,0.044113967512127206,0.04
0.04EGM7,0.0051175504749509,0.7203157451968079,0.18826366186347443,0.015892519799660533,0.02654517632274989,0.04386534634241057,0.04
0.04EGM8,0.004868929305234259,0.7205643663665243,0.18826366186347443,0.015892519799660533,0.02654517632274989,0.04386534634241057,0.04
0.045EGM1,0.004838724249821306,0.7171698664162228,0.18642610104193025,0.01573739973320475,0.02642370370370228,0.049235474006116206,0.045
0.045EGM2,0.004839123543158939,0.7172594343752636,0.18650486463860821,0.01573739973320475,0.026423703703702277,0.0492354740061162,0.045
0.045EGM3,0.004839123543158939,0.7172594343752634,0.18642610104193022,0.015816163329882706,0.026423703703702277,0.0492354740061162,0.045
0.045EGM4,0.004839621562456499,0.7172969823342634,0.18646364900093018,0.015740569392585307,0.026423703703702277,0.049235474006116206,0.045
0.045EGM5,0.004839123543158939,0.7172594343752636,0.18642610104193025,0.01573739973320475,0.026502467300380233,0.04923547400611621,0.045
0.045EGM6,0.004839123543158939,0.7172594343752634,0.18642610104193022,0.01573739973320475,0.026423703703702277,0.04931423760279415,0.045
0.045EGM7,0.004917887139836895,0.7172594343752636,0.18642610104193025,0.01573739973320475,0.026423703703702277,0.0492354740061162,0.045
0.045EGM8,0.004839123543158939,0.7173381979719415,0.18642610104193025,0.01573739973320475,0.026423703703702277,0.0492354740061162,0.045
0.05EGM1,0.004806234515428703,0.7136763476756712,0.18450508129603624,0.015575234374021956,0.026289060846559433,0.05456652589680113,0.05
0.05EGM2,0.004807607132764002,0.713984247962703,0.18477732378720446,0.015575234374021953,0.026289060846559433,0.054566525896801124,0.05
0.05EGM3,0.004807607132764002,0.713984247962703,0.18450508129603624,0.015847476865190172,0.026289060846559433,0.05456652589680114,0.05
0.05EGM4,0.004809328511928189,0.7141140306329664,0.1846348639662997,0.01558619014549904,0.026289060846559433,0.05456652589680113,0.05
0.05EGM5,0.004807607132764002,0.713984247962703,0.18450508129603627,0.015575234374021956,0.02656130333772765,0.05456652589680114,0.05
0.05EGM6,0.004807607132764002,0.713984247962703,0.18450508129603624,0.015575234374021953,0.02628906084655943,0.05483876838796934,0.05
0.05EGM7,0.0050798496239322175,0.713984247962703,0.18450508129603624,0.015575234374021953,0.026289060846559433,0.054566525896801124,0.05
0.05EGM8,0.004807607132764002,0.7142564904538712,0.18450508129603624,0.015575234374021953,0.026289060846559433,0.054566525896801124,0.05
0.055EGM1,0.0047775677608517175,0.7108310124319264,0.18269006076387911,0.015422017075162575,0.02616817632274992,0.059885017717586524,0.055
0.055EGM2,0.0047781003349835795,0.7109504774305457,0.1827962111190253,0.01542201707516257,0.02616817632274991,0.05988501771758651,0.055
0.055EGM3,0.0047781003349835795,0.7109504774305457,0.1826900607638791,0.015528167430308779,0.026168176322749915,0.05988501771758651,0.055
0.055EGM4,0.0047787715197381555,0.7110010811275705,0.18274066446090367,0.015426288851505064,0.02616817632274992,0.059885017717586524,0.055
0.055EGM5,0.00477810033498358,0.7109504774305457,0.18269006076387911,0.015422017075162574,0.026274326677896125,0.059885017717586524,0.055
0.055EGM6,0.00477810033498358,0.7109504774305458,0.18269006076387911,0.015422017075162574,0.02616817632274992,0.05999116807273274,0.055
0.055EGM7,0.0048842506901297916,0.7109504774305457,0.1826900607638791,0.01542201707516257,0.02616817632274991,0.05988501771758651,0.055
0.055EGM8,0.0047781003349835795,0.711056627785692,0.1826900607638791,0.01542201707516257,0.02616817632274991,0.05988501771758651,0.055
0.06EGM1,0.004745388221509422,0.7073598208684057,0.18079296461639238,0.015261871257391027,0.02603418690476051,0.06516164263870686,0.06
0.06EGM2,0.00474690123647433,0.7076992146163923,0.1810961833463283,0.015261871257391028,0.02603418690476051,0.06516164263870686,0.06
0.06EGM3,0.00474690123647433,0.7076992146163923,0.1807929646163924,0.015565089987326903,0.026034186904760507,0.06516164263870686,0.06
0.06EGM4,0.004748818477246199,0.7078437641915748,0.18093751419157492,0.015274073596190147,0.026034186904760514,0.06516164263870687,0.06
0.06EGM5,0.00474690123647433,0.7076992146163923,0.1807929646163924,0.015261871257391027,0.026337405634696383,0.06516164263870686,0.06
0.06EGM6,0.004746901236474332,0.7076992146163924,0.1807929646163924,0.015261871257391028,0.026034186904760514,0.06546486136864271,0.06
0.06EGM7,0.005050119966410206,0.7076992146163923,0.18079296461639238,0.015261871257391028,0.02603418690476051,0.06516164263870686,0.06
0.06EGM8,0.00474690123647433,0.7080024333463283,0.18079296461639238,0.015261871257391028,0.02603418690476051,0.06516164263870686,0.06
0.065EGM1,0.004716990675245673,0.7045306133852262,0.17900035161965722,0.015110545519530883,0.02591389047618909,0.07042849861657201,0.065
0.065EGM2,0.004717691642199724,0.7046878516196572,0.1791415221259045,0.015110545519530887,0.025913890476189094,0.07042849861657202,0.065
0.065EGM3,0.004717691642199724,0.7046878516196572,0.17900035161965722,0.015251716025778126,0.02591389047618909,0.07042849861657202,0.065
0.065EGM4,0.004718584258069527,0.7047551500240489,0.1790676500240488,0.01511622660112514,0.025913890476189094,0.07042849861657201,0.065
0.065EGM5,0.0047176916421997235,0.7046878516196572,0.1790003516196572,0.015110545519530883,0.026055060982436335,0.07042849861657202,0.065
0.065EGM6,0.0047176916421997235,0.7046878516196572,0.17900035161965722,0.015110545519530883,0.02591389047618909,0.07056966912281926,0.065
0.065EGM7,0.004858862148446966,0.7046878516196572,0.17900035161965722,0.015110545519530887,0.025913890476189094,0.07042849861657202,0.065
0.065EGM8,0.004717691642199724,0.7048290221259044,0.17900035161965722,0.015110545519530887,0.025913890476189094,0.07042849861657202,0.065
0.07EGM1,0.004685118416817366,0.7010813766008284,0.177127036661779,0.014952407221548185,0.02578055449735312,0.07565069656812777,0.07
0.07EGM2,0.004686807966729686,0.7014603699951123,0.17746916375118213,0.014952407221548185,0.025780554497353125,0.07565069656812777,0.07
0.07EGM3,0.004686807966729686,0.7014603699951124,0.17712703666177898,0.01529453431095131,0.025780554497353125,0.07565069656812777,0.07
0.07EGM4,0.004688971223613926,0.7016234678533553,0.17729013452002176,0.014966175337581565,0.02578055449735313,0.07565069656812778,0.07
0.07EGM5,0.004686807966729685,0.7014603699951123,0.17712703666177898,0.014952407221548182,0.026122681586756243,0.07565069656812777,0.07
0.07EGM6,0.004686807966729686,0.7014603699951124,0.17712703666177898,0.014952407221548185,0.025780554497353125,0.07599282365753089,0.07
0.07EGM7,0.0050289350561328085,0.7014603699951123,0.17712703666177898,0.014952407221548185,0.025780554497353125,0.07565069656812777,0.07
0.07EGM8,0.004686807966729686,0.7018024970845156,0.17712703666177898,0.014952407221548185,0.025780554497353125,0.07565069656812777,0.07
0.075EGM1,0.004656987634040785,0.6982680106836824,0.17535669844650056,0.01480296183809011,0.025660846164019802,0.08086591670307267,0.075
0.075EGM2,0.004657893815171803,0.698471281779834,0.1755410996998648,0.01480296183809011,0.025660846164019802,0.08086591670307267,0.075
0.075EGM3,0.004657893815171803,0.6984712817798341,0.1753566984465006,0.01498736309145436,0.02566084616401981,0.08086591670307268,0.075
0.075EGM4,0.004659059777450612,0.698559189023699,0.17544460569036563,0.014810382641445522,0.025660846164019806,0.08086591670307268,0.075
0.075EGM5,0.004657893815171803,0.6984712817798341,0.1753566984465006,0.014802961838090113,0.025845247417384053,0.08086591670307268,0.075
0.075EGM6,0.004657893815171803,0.698471281779834,0.17535669844650056,0.01480296183809011,0.025660846164019802,0.08105031795643691,0.075
0.075EGM7,0.004842295068536049,0.698471281779834,0.17535669844650056,0.01480296183809011,0.025660846164019802,0.08086591670307267,0.075
0.075EGM8,0.004657893815171803,0.6986556830331981,0.17535669844650056,0.01480296183809011,0.025660846164019802,0.08086591670307267,0.075
0.08EGM1,0.004628980290865099,0.6954611261021767,0.1735970972956992,0.01465442283777631,0.02554141640211505,0.08605601669821854,0.08
0.08EGM2,0.004629122075224329,0.6954929306290326,0.17362609135768617,0.014654422837776312,0.02554141640211505,0.08605601669821852,0.08
0.08EGM3,0.004629122075224329,0.6954929306290326,0.17359709729569922,0.014683416899763237,0.025541416402115054,0.08605601669821852,0.08
0.08EGM4,0.004629305403601818,0.695506752596244,0.17361091926291056,0.01465558963696316,0.025541416402115054,0.08605601669821854,0.08
0.08EGM5,0.004629122075224328,0.6954929306290326,0.17359709729569922,0.014654422837776312,0.025570410464101977,0.08605601669821852,0.08
0.08EGM6,0.004629122075224329,0.6954929306290326,0.17359709729569925,0.014654422837776312,0.025541416402115054,0.08608501076020544,0.08
0.08EGM7,0.004658116137211256,0.6954929306290326,0.17359709729569922,0.014654422837776312,0.02554141640211505,0.08605601669821852,0.08
0.08EGM8,0.004629122075224329,0.6955219246910196,0.17359709729569922,0.014654422837776312,0.02554141640211505,0.08605601669821852,0.08
0.085EGM1,0.004597553370810703,0.6920425664921854,0.171758826081645,0.014499242802620676,0.02540904338624204,0.09119727197708848,0.085
0.085EGM2,0.004598703204264256,0.6923004927483116,0.1719952458815256,0.014499242802620677,0.025409043386242045,0.09119727197708848,0.085
0.085EGM3,0.004598703204264256,0.6923004927483115,0.17175882608164506,0.014735662602501219,0.02540904338624204,0.09119727197708848,0.085
