,G,AA,NT,rRNA,rP,IG,EAA,ENT,RNAP,AF,R,mu,EGVs,x
1e-05EGM1,6.294177777402461e-17,-6.860258299686477e-17,0.0,0.0,0.0,0.0015333638545953388,0.24011402702374765,0.05257329023569391,0.029586947289203785,0.2214304263895769,0.45476194520718316,2.54,EGM1,1e-05
1e-05EGM2,6.294177777402461e-17,-4.28395383403335e-18,0.0,0.0,0.0,0.0015333638545953388,0.4544280616831036,0.05257329023569391,0.029586947289203785,0.00711639173022083,0.45476194520718316,2.54,EGM2,1e-05
1e-05EGM3,6.294177777402461e-17,-1.3768555506064665e-16,0.0,0.0,0.0,0.0015333638545953388,0.24011402702374765,0.26688732489504996,0.029586947289203785,0.00711639173022083,0.45476194520718316,2.54,EGM3,1e-05
1e-05EGM4,6.294177777402461e-17,-7.622948641520759e-17,0.0,0.0,0.21431403465935606,0.0015333638545953388,0.24011402702374765,0.05257329023569391,0.029586947289203785,0.00711639173022083,0.45476194520718316,2.54,EGM4,1e-05
1e-05EGM5,6.294177777402461e-17,-8.051344024924095e-17,0.0,0.0,0.0,0.21584739851395138,0.24011402702374765,0.05257329023569391,0.029586947289203785,0.00711639173022083,0.45476194520718316,2.54,EGM5,1e-05
1e-05EGM6,0.0,7.62806658799639e-18,-5.67000514781005e-17,0.0,0.0,0.0015333638545953385,0.2401140270237476,0.05257329023569391,0.029587483200000014,0.22142989047878062,0.4547619452071831,2.54,EGM6,1e-05
1e-05EGM7,0.0,-3.8114743207603796e-17,-1.13400102956201e-16,0.0,0.21431349874855984,0.0015333638545953385,0.2401140270237476,0.05257329023569391,0.029587483200000014,0.00711639173022083,0.45476194520718316,2.54,EGM7,1e-05
1e-05EGM8,0.0,-7.622948641520759e-17,-1.13400102956201e-16,0.0,0.21430606138457248,0.0015333638545953385,0.24011214608333378,0.05257424250000004,0.029587483200000014,0.007116520630006305,0.45477018234749267,2.54,EGM8,1e-05
1e-05EGM9,-6.294177777402461e-17,1.2451731141278036e-18,0.0,1.5107142951938965e-05,0.0,0.21583966179837344,0.24011214608333373,0.05257424250000004,0.02958748320000002,0.007116284221873658,0.4547550750534678,2.54,EGM9,1e-05
1e-05EGM10,0.0,-6.479087604217366e-17,-1.13400102956201e-16,0.0,0.0,0.21583942523916788,0.24011214608333378,0.05257424250000004,0.029587483200000014,0.007116520630006305,0.45477018234749267,2.54,EGM10,1e-05
1e-05EGM11,0.0,-2.3341325437835246e-17,-1.13400102956201e-16,0.0,0.0,0.21584686260315517,0.2401140270237476,0.05257329023569391,0.029587483200000014,0.00711639173022083,0.45476194520718316,2.54,EGM11,1e-05
1e-05EGM12,0.0,-6.479087604217366e-17,-1.13400102956201e-16,0.0,0.0,0.0015333638545953385,0.4544182074679063,0.05257424250000004,0.029587483200000014,0.007116520630006305,0.45477018234749267,2.54,EGM12,1e-05
1e-05EGM13,0.0,3.3830789373570454e-17,-1.13400102956201e-16,0.0,0.0,0.0015333638545953385,0.2401140270237476,0.26688678898425366,0.029587483200000014,0.00711639173022083,0.45476194520718316,2.54,EGM13,1e-05
1e-05EGM14,0.0,-2.3341325437835246e-17,-1.13400102956201e-16,0.0,0.0,0.0015333638545953385,0.4544275257723074,0.05257329023569391,0.029587483200000014,0.00711639173022083,0.45476194520718316,2.54,EGM14,1e-05
1e-05EGM15,0.0,1.9099245711329785e-18,-1.13400102956201e-16,0.0,0.0,0.0015333638545953385,0.24011214608333378,0.2668803038845725,0.029587483200000014,0.007116520630006305,0.45477018234749267,2.54,EGM15,1e-05
1e-05EGM16,-6.294177777402461e-17,0.0,0.0,1.5107142951938965e-05,0.21430629794377806,0.0015333638545953385,0.24011214608333373,0.05257424250000004,0.02958748320000002,0.007116284221873658,0.4547550750534678,2.54,EGM16,1e-05
1e-05EGM17,-6.294177777402461e-17,-1.1309905650868361e-16,0.0,1.5107142951938965e-05,0.0,0.0015333638545953385,0.4544184440271119,0.05257424250000004,0.02958748320000002,0.007116284221873658,0.4547550750534678,2.54,EGM17,1e-05
