,vIG,vEAA,vENT,vRNAP,vAF,wIG,wEAA,wENT,wRNAP,wAF,wrP,x,mu,EGVs
1e-05EGM1,14.111111111111123,16.26742878918825,3.56177548526931,0.0005022153655766284,0.0005022153655766284,5.531207133058994e-05,0.0011477574756816166,0.00025130304812733483,0.000197100429903792,0.0013230611221583752,0.0005022153655766284,1e-05,2.54,EGM1
1e-05EGM2,14.111111111111123,16.26742878918825,3.56177548526931,0.0005022153655766284,0.0005022153655766284,5.531207133058994e-05,0.0021721896526465927,0.00025130304812733483,0.000197100429903792,4.252090095215457e-05,0.0005022153655766284,1e-05,2.54,EGM2
1e-05EGM3,14.111111111111123,16.26742878918825,3.56177548526931,0.0005022153655766284,0.0005022153655766284,5.531207133058994e-05,0.0011477574756816166,0.0012757352250923114,0.000197100429903792,4.252090095215457e-05,0.0005022153655766284,1e-05,2.54,EGM3
1e-05EGM4,14.111111111111123,16.26742878918825,3.56177548526931,0.0005022153655766284,0.0005022153655766284,5.531207133058994e-05,0.0011477574756816166,0.00025130304812733483,0.000197100429903792,4.252090095215457e-05,23.668226042964022,1e-05,2.54,EGM4
1e-05EGM5,14.111111111111123,16.26742878918825,3.56177548526931,0.0005022153655766284,0.0005022153655766284,0.007786127648272169,0.0011477574756816166,0.00025130304812733483,0.000197100429903792,4.252090095215457e-05,0.0005022153655766284,1e-05,2.54,EGM5
1e-05EGM6,14.111111111111121,16.26742878918825,3.561775485269309,0.0005022153655766283,0.0005022153655766283,5.5312071330589935e-05,0.0011477574756816164,0.00025130304812733483,0.0001971040000000001,0.0013230579200566991,0.0005022153655766283,1e-05,2.54,EGM6
1e-05EGM7,14.111111111111121,16.26742878918825,3.561775485269309,0.0005022153655766284,0.0005022153655766284,5.5312071330589935e-05,0.0011477574756816164,0.00025130304812733483,0.0001971040000000001,4.252090095215457e-05,23.668166859771745,1e-05,2.54,EGM7
1e-05EGM8,14.111111111111121,16.267301357798182,3.5618399999999992,0.0005022244622446224,0.0005022244622446224,5.5312071330589935e-05,0.001147748484689095,0.0002513076000000002,0.0001971040000000001,4.252167113671139e-05,23.66734552519329,1e-05,2.54,EGM8
1e-05EGM9,14.111111111111121,16.267301357798182,3.56184,0.0005022244622446224,0.0005022077785373079,0.007785848566590004,0.0011477484846890947,0.0002513076000000002,0.00019710400000000014,4.252025858282543e-05,0.0005022077785373079,1e-05,2.54,EGM9
1e-05EGM10,14.111111111111121,16.267301357798182,3.5618399999999992,0.0005022244622446224,0.0005022244622446224,0.007785840033338347,0.001147748484689095,0.0002513076000000002,0.0001971040000000001,4.252167113671139e-05,0.0005022244622446224,1e-05,2.54,EGM10
1e-05EGM11,14.111111111111121,16.26742878918825,3.561775485269309,0.0005022153655766284,0.0005022153655766284,0.007786108316698585,0.0011477574756816164,0.00025130304812733483,0.0001971040000000001,4.252090095215457e-05,0.0005022153655766284,1e-05,2.54,EGM11
1e-05EGM12,14.111111111111121,16.267301357798182,3.5618399999999992,0.0005022244622446224,0.0005022244622446224,5.5312071330589935e-05,0.002172142548987969,0.0002513076000000002,0.0001971040000000001,4.252167113671139e-05,0.0005022244622446224,1e-05,2.54,EGM12
1e-05EGM13,14.111111111111121,16.26742878918825,3.561775485269309,0.0005022153655766284,0.0005022153655766284,5.5312071330589935e-05,0.0011477574756816164,0.0012757326634109704,0.0001971040000000001,4.252090095215457e-05,0.0005022153655766284,1e-05,2.54,EGM13
1e-05EGM14,14.111111111111121,16.26742878918825,3.561775485269309,0.0005022153655766284,0.0005022153655766284,5.5312071330589935e-05,0.002172187090965252,0.00025130304812733483,0.0001971040000000001,4.252090095215457e-05,0.0005022153655766284,1e-05,2.54,EGM14
1e-05EGM15,14.111111111111121,16.267301357798182,3.5618399999999992,0.0005022244622446224,0.0005022244622446224,5.5312071330589935e-05,0.001147748484689095,0.0012757016642988741,0.0001971040000000001,4.252167113671139e-05,0.0005022244622446224,1e-05,2.54,EGM15
1e-05EGM16,14.111111111111121,16.267301357798182,3.56184,0.0005022244622446224,0.0005022077785373079,5.5312071330589935e-05,0.0011477484846890947,0.0002513076000000002,0.00019710400000000014,4.252025858282543e-05,23.667371632874026,1e-05,2.54,EGM16
1e-05EGM17,14.111111111111121,16.267301357798182,3.56184,0.0005022244622446224,0.0005022077785373079,5.5312071330589935e-05,0.0021721436797532143,0.0002513076000000002,0.00019710400000000014,4.252025858282543e-05,0.0005022077785373079,1e-05,2.54,EGM17
