,x,mu
0,1e-05,2.54
1,0.005,2.544
2,0.01,2.549
3,0.015,2.553
4,0.02,2.558
5,0.025,2.562
6,0.030000000000000002,2.567
7,0.034999999999999996,2.572
8,0.04,2.577
9,0.045,2.581
10,0.049999999999999996,2.586
11,0.055,2.591
12,0.06,2.596
13,0.065,2.601
14,0.07,2.606
15,0.07500000000000001,2.611
16,0.08,2.616
17,0.085,2.621
18,0.09000000000000001,2.626
19,0.095,2.631
20,0.1,2.637
21,0.10500000000000001,2.642
22,0.11,2.647
23,0.115,2.653
24,0.12000000000000001,2.658
25,0.125,2.664
26,0.13,2.669
27,0.135,2.675
28,0.14,2.68
29,0.14500000000000002,2.686
30,0.15,2.692
31,0.155,2.698
32,0.16,2.703
33,0.165,2.709
34,0.17,2.715
35,0.17500000000000002,2.721
36,0.18000000000000002,2.727
37,0.185,2.733
38,0.19,2.74
39,0.195,2.746
40,0.2,2.752
41,0.20500000000000002,2.758
42,0.21000000000000002,2.765
43,0.215,2.771
44,0.22,2.778
45,0.225,2.784
46,0.23,2.791
47,0.23500000000000001,2.798
48,0.24000000000000002,2.805
49,0.245,2.812
50,0.25,2.818
51,0.255,2.825
52,0.26,2.833
53,0.265,2.84
54,0.27,2.847
55,0.275,2.854
56,0.28,2.862
57,0.28500000000000003,2.869
58,0.29000000000000004,2.877
59,0.295,2.884
60,0.3,2.892
61,0.305,2.9
62,0.31,2.908
63,0.315,2.916
64,0.32,2.924
65,0.325,2.932
66,0.33,2.94
67,0.335,2.948
68,0.34,2.957
69,0.34500000000000003,2.965
70,0.35000000000000003,2.974
71,0.35500000000000004,2.983
72,0.36,2.992
73,0.365,2.985
74,0.37,2.978
75,0.375,2.97
76,0.38,2.962
77,0.385,2.955
78,0.39,2.947
79,0.395,2.939
80,0.4,2.932
81,0.405,2.924
82,0.41000000000000003,2.917
83,0.41500000000000004,2.909
84,0.42000000000000004,2.901
85,0.425,2.894
86,0.43,2.886
87,0.435,2.879
88,0.44,2.871
89,0.445,2.864
90,0.45,2.856
91,0.455,2.849
92,0.46,2.841
93,0.465,2.834
94,0.47000000000000003,2.826
95,0.47500000000000003,2.819
96,0.48000000000000004,2.811
97,0.485,2.804
98,0.49,2.797
99,0.495,2.789
100,0.5,2.782
101,0.505,2.775
102,0.51,2.767
103,0.515,2.76
104,0.52,2.753
105,0.525,2.745
106,0.53,2.738
107,0.535,2.731
108,0.54,2.724
109,0.545,2.716
110,0.55,2.709
111,0.555,2.702
112,0.56,2.695
113,0.5650000000000001,2.688
114,0.5700000000000001,2.68
115,0.5750000000000001,2.673
116,0.5800000000000001,2.666
117,0.585,2.659
118,0.59,2.652
119,0.595,2.645
120,0.6,2.638
121,0.605,2.631
122,0.61,2.624
123,0.615,2.617
124,0.62,2.61
125,0.625,2.603
126,0.63,2.596
127,0.635,2.589
128,0.64,2.582
129,0.645,2.575
130,0.65,2.568
131,0.655,2.562
132,0.66,2.555
133,0.665,2.548
134,0.67,2.541
135,0.675,2.534
136,0.68,2.527
137,0.685,2.521
138,0.6900000000000001,2.514
139,0.6950000000000001,2.507
140,0.7000000000000001,2.501
141,0.7050000000000001,2.494
142,0.71,2.487
143,0.715,2.481
144,0.72,2.474
145,0.725,2.467
146,0.73,2.461
147,0.735,2.454
148,0.74,2.448
149,0.745,2.441
150,0.75,2.435
151,0.755,2.428
152,0.76,2.422
153,0.765,2.415
154,0.77,2.409
155,0.775,2.402
156,0.78,2.396
157,0.785,2.39
158,0.79,2.383
159,0.795,2.377
160,0.8,2.37
161,0.805,2.364
162,0.81,2.358
163,0.8150000000000001,2.352
164,0.8200000000000001,2.345
165,0.8250000000000001,2.339
166,0.8300000000000001,2.333
167,0.8350000000000001,2.327
168,0.84,2.321
169,0.845,2.314
170,0.85,2.308
171,0.855,2.302
172,0.86,2.296
173,0.865,2.29
174,0.87,2.284
175,0.875,2.278
176,0.88,2.272
177,0.885,2.266
178,0.89,2.26
179,0.895,2.254
180,0.9,2.248
181,0.905,2.242
182,0.91,2.236
183,0.915,2.23
184,0.92,2.224
185,0.925,2.218
186,0.93,2.213
187,0.935,2.207
188,0.9400000000000001,2.201
189,0.9450000000000001,2.195
190,0.9500000000000001,2.19
191,0.9550000000000001,2.184
192,0.9600000000000001,2.178
193,0.965,2.172
194,0.97,2.167
195,0.975,2.161
196,0.98,2.155
197,0.985,2.15
198,0.99,2.144
199,0.995,2.139
200,0.99999,2.133
