,vIG,vEAA,vENT,vRNAP,vAF,wIG,wEAA,wENT,wRNAP,wAF,wrP,x,mu,EGVs
1e-05EGM1,4.661111111111113,5.457337614678901,1.1340000000000001,0.00012097364394696575,0.00012097364394696575,6.03498799725652e-06,0.0001271862849643222,2.6428500000000013e-05,1.0571400000000004e-05,3.3832295757168104e-06,12.622463834450901,1e-05,0.839,EGM1
1e-05EGM2,4.661111111111113,5.457337614678901,1.1340000000000001,0.00012097364394696575,0.00012097364394696575,6.03498799725652e-06,0.0008493113811177571,2.6428500000000013e-05,1.0571400000000004e-05,3.3832295757168104e-06,0.00012097364394696575,1e-05,0.839,EGM2
1e-05EGM3,4.661111111111112,5.457337614678901,1.1340000000000001,0.00012097364394696577,0.00012097364394696577,6.03498799725652e-06,0.0001271862849643222,2.6428500000000013e-05,1.0571400000000004e-05,0.0009060395997675105,0.00012097364394696577,1e-05,0.839,EGM3
1e-05EGM4,4.661111111111113,5.457337614678901,1.1340000000000001,0.00012097364394696575,0.00012097364394696575,6.03498799725652e-06,0.0001271862849643222,0.0007485535961534349,1.0571400000000004e-05,3.3832295757168104e-06,0.00012097364394696575,1e-05,0.839,EGM4
1e-05EGM5,4.661111111111112,5.458006496081678,1.1336613651978507,0.00012093751882705106,0.00012093751882705106,0.005457033179874193,0.0001272018736170147,2.6420607927805475e-05,1.056824317112219e-05,3.3822192765298623e-06,0.00012093751882705106,1e-05,0.839,EGM5
1e-05EGM6,4.661111111111112,5.458006496081678,1.1336613651978507,0.00012093751882705106,0.00012093751882705106,6.03498799725652e-06,0.0001272018736170147,0.000748747752943703,1.056824317112219e-05,3.3822192765298623e-06,0.00012093751882705106,1e-05,0.839,EGM6
1e-05EGM7,4.661111111111112,5.458006496081678,1.1336613651978507,0.00012093751882705106,0.00012093751882705106,6.03498799725652e-06,0.0001272018736170147,2.6420607927805475e-05,1.056824317112219e-05,3.3822192765298623e-06,12.62599549945378,1e-05,0.839,EGM7
1e-05EGM8,4.661111111111112,5.458006496081678,1.1336613651978507,0.00012093751882705106,0.00012093751882705106,6.03498799725652e-06,0.0001272018736170147,2.6420607927805475e-05,1.056824317112219e-05,0.0009062911505464018,0.00012093751882705106,1e-05,0.839,EGM8
1e-05EGM9,4.661111111111112,5.458006496081678,1.1336613651978507,0.00012093751882705106,0.00012093751882705106,6.03498799725652e-06,0.0008495290186329123,2.6420607927805475e-05,1.056824317112219e-05,3.3822192765298623e-06,0.00012093751882705106,1e-05,0.839,EGM9
1e-05EGM10,4.661111111111113,5.458006496081678,1.1336613651978507,0.00012093751882705105,0.00012093751882705105,6.03498799725652e-06,0.0008495267534867759,2.6420607927805475e-05,1.0571400000000004e-05,3.3822192765298623e-06,0.00012093751882705105,1e-05,0.839,EGM10
1e-05EGM11,4.661111111111113,5.457337614678901,1.1340000000000001,0.00012097364394696576,0.00012090934195718661,0.005455519314777111,0.0001271862849643222,2.6428500000000013e-05,1.0571400000000005e-05,3.3814312634026536e-06,0.00012090934195718661,1e-05,0.839,EGM11
1e-05EGM12,4.661111111111113,5.457337614678901,1.1340000000000001,0.00012097364394696575,0.00012097364394696575,0.0054555084303316145,0.0001271862849643222,2.6428500000000013e-05,1.0571400000000004e-05,3.3832295757168104e-06,0.00012097364394696575,1e-05,0.839,EGM12
1e-05EGM13,4.661111111111112,5.458006496081679,1.1336613651978509,0.00012093751882705106,0.00012093751882705106,6.03498799725652e-06,0.0001272018736170147,2.6420607927805475e-05,1.0571400000000004e-05,0.0009062883191137314,0.00012093751882705106,1e-05,0.839,EGM13
1e-05EGM14,4.661111111111113,5.458006496081678,1.1336613651978507,0.00012093751882705105,0.00012093751882705105,0.005457016086085625,0.0001272018736170147,2.6420607927805475e-05,1.0571400000000004e-05,3.3822192765298623e-06,0.00012093751882705105,1e-05,0.839,EGM14
1e-05EGM15,4.661111111111113,5.457337614678901,1.1340000000000001,0.00012097364394696576,0.00012090934195718661,6.034987997256519e-06,0.0001271862849643222,2.6428500000000013e-05,1.0571400000000005e-05,3.3814312634026536e-06,12.622488981245795,1e-05,0.839,EGM15
1e-05EGM16,4.661111111111113,5.457337614678901,1.1340000000000001,0.00012097364394696576,0.00012090934195718661,6.034987997256519e-06,0.0001271862849643222,2.6428500000000013e-05,1.0571400000000005e-05,0.0009060396043659119,0.00012090934195718661,1e-05,0.839,EGM16
1e-05EGM17,4.661111111111113,5.457337614678901,1.1340000000000001,0.00012097364394696576,0.00012090934195718661,6.034987997256519e-06,0.0008493128234463296,2.6428500000000013e-05,1.0571400000000005e-05,3.3814312634026536e-06,0.00012090934195718661,1e-05,0.839,EGM17
1e-05EGM18,4.661111111111113,5.458006496081678,1.1336613651978507,0.00012093751882705105,0.00012093751882705105,6.03498799725652e-06,0.0001272018736170147,0.0007487454877975667,1.0571400000000004e-05,3.3822192765298623e-06,0.00012093751882705105,1e-05,0.839,EGM18
1e-05EGM19,4.661111111111113,5.458006496081678,1.1336613651978507,0.00012093751882705105,0.00012093751882705105,6.03498799725652e-06,0.0001272018736170147,2.6420607927805475e-05,1.0571400000000004e-05,3.3822192765298623e-06,12.62595590596601,1e-05,0.839,EGM19
1e-05EGM20,4.661111111111113,5.457337614678901,1.1340000000000001,0.00012097364394696576,0.00012090934195718661,6.034987997256519e-06,0.0001271862849643222,0.0007485550384820074,1.0571400000000005e-05,3.3814312634026536e-06,0.00012090934195718661,1e-05,0.839,EGM20
0.005EGM1,4.666666666666668,5.466511926605507,1.134,0.00012158033588997618,0.00012131033394495422,0.005440428953662011,0.00012755194495412854,2.6460000000000008e-05,1.0584000000000004e-05,3.3966893504587197e-06,0.00012131033394495422,0.005,0.84,EGM1
