,x,mu
0,1e-05,0.839
1,0.005,0.84
2,0.01,0.842
3,0.015,0.843
4,0.02,0.845
5,0.025,0.846
6,0.030000000000000002,0.848
7,0.034999999999999996,0.85
8,0.04,0.851
9,0.045,0.853
10,0.049999999999999996,0.854
11,0.055,0.856
12,0.06,0.858
13,0.065,0.859
14,0.07,0.861
15,0.07500000000000001,0.863
16,0.08,0.864
17,0.085,0.866
18,0.09000000000000001,0.868
19,0.095,0.87
20,0.1,0.871
21,0.10500000000000001,0.873
22,0.11,0.875
23,0.115,0.877
24,0.12000000000000001,0.879
25,0.125,0.88
26,0.13,0.882
27,0.135,0.884
28,0.14,0.886
29,0.14500000000000002,0.888
30,0.15,0.89
31,0.155,0.892
32,0.16,0.894
33,0.165,0.896
34,0.17,0.898
35,0.17500000000000002,0.9
36,0.18000000000000002,0.902
37,0.185,0.904
38,0.19,0.906
39,0.195,0.908
40,0.2,0.91
41,0.20500000000000002,0.912
42,0.21000000000000002,0.915
43,0.215,0.917
44,0.22,0.919
45,0.225,0.921
46,0.23,0.923
47,0.23500000000000001,0.926
48,0.24000000000000002,0.928
49,0.245,0.93
50,0.25,0.933
51,0.255,0.935
52,0.26,0.937
53,0.265,0.94
54,0.27,0.942
55,0.275,0.945
56,0.28,0.947
57,0.28500000000000003,0.95
58,0.29000000000000004,0.952
59,0.295,0.955
60,0.3,0.957
61,0.305,0.96
62,0.31,0.963
63,0.315,0.965
64,0.32,0.968
65,0.325,0.971
66,0.33,0.973
67,0.335,0.976
68,0.34,0.979
69,0.34500000000000003,0.982
70,0.35000000000000003,0.985
71,0.35500000000000004,0.988
72,0.36,0.991
73,0.365,0.994
74,0.37,0.997
75,0.375,1.0
76,0.38,1.003
77,0.385,1.006
78,0.39,1.009
79,0.395,1.013
80,0.4,1.016
81,0.405,1.019
82,0.41000000000000003,1.023
83,0.41500000000000004,1.026
84,0.42000000000000004,1.029
85,0.425,1.033
86,0.43,1.036
87,0.435,1.04
88,0.44,1.044
89,0.445,1.047
90,0.45,1.051
91,0.455,1.055
92,0.46,1.059
93,0.465,1.063
94,0.47000000000000003,1.067
95,0.47500000000000003,1.071
96,0.48000000000000004,1.075
97,0.485,1.079
98,0.49,1.083
99,0.495,1.087
100,0.5,1.092
101,0.505,1.096
102,0.51,1.101
103,0.515,1.105
104,0.52,1.11
105,0.525,1.114
106,0.53,1.119
107,0.535,1.124
108,0.54,1.129
109,0.545,1.134
110,0.55,1.139
111,0.555,1.144
112,0.56,1.149
113,0.5650000000000001,1.155
114,0.5700000000000001,1.16
115,0.5750000000000001,1.166
116,0.5800000000000001,1.171
117,0.585,1.177
118,0.59,1.183
119,0.595,1.189
120,0.6,1.195
121,0.605,1.201
122,0.61,1.207
123,0.615,1.214
124,0.62,1.22
125,0.625,1.227
126,0.63,1.234
127,0.635,1.241
128,0.64,1.248
129,0.645,1.255
130,0.65,1.262
131,0.655,1.261
132,0.66,1.255
133,0.665,1.249
134,0.67,1.243
135,0.675,1.237
136,0.68,1.231
137,0.685,1.225
138,0.6900000000000001,1.22
139,0.6950000000000001,1.214
140,0.7000000000000001,1.208
141,0.7050000000000001,1.203
142,0.71,1.197
143,0.715,1.191
144,0.72,1.186
145,0.725,1.18
146,0.73,1.175
147,0.735,1.17
148,0.74,1.164
149,0.745,1.159
150,0.75,1.154
151,0.755,1.149
152,0.76,1.143
153,0.765,1.138
154,0.77,1.133
155,0.775,1.128
156,0.78,1.123
157,0.785,1.118
158,0.79,1.113
159,0.795,1.108
160,0.8,1.103
161,0.805,1.098
162,0.81,1.094
163,0.8150000000000001,1.089
164,0.8200000000000001,1.084
165,0.8250000000000001,1.079
166,0.8300000000000001,1.075
167,0.8350000000000001,1.07
168,0.84,1.065
169,0.845,1.061
170,0.85,1.056
171,0.855,1.052
172,0.86,1.047
173,0.865,1.043
174,0.87,1.038
175,0.875,1.034
176,0.88,1.03
177,0.885,1.025
178,0.89,1.021
179,0.895,1.017
180,0.9,1.013
181,0.905,1.009
182,0.91,1.004
183,0.915,1.0
184,0.92,0.996
185,0.925,0.992
186,0.93,0.988
187,0.935,0.984
188,0.9400000000000001,0.98
189,0.9450000000000001,0.976
190,0.9500000000000001,0.972
191,0.9550000000000001,0.968
192,0.9600000000000001,0.964
193,0.965,0.96
194,0.97,0.957
195,0.975,0.953
196,0.98,0.949
197,0.985,0.945
198,0.99,0.942
199,0.995,0.938
200,0.99999,0.934
