,G,AA,NT,rRNA,rP,IG,EAA,ENT,RNAP,AF,R,mu,EGVs,x
1e-05EGM1,5.645201820127914e-17,-4.0693597117703794e-17,-5.08538597296523e-17,0.0,0.0,0.00170964032921811,0.4873961486531751,0.056905441587717584,0.0048037462364726655,0.007702797601289465,0.4414822255921278,2.832,EGM1,1e-05
1e-05EGM2,5.645201820127914e-17,-5.24446335453659e-17,-5.08538597296523e-17,0.0,0.0,0.00170964032921811,0.27109870115747214,0.056905441587717584,0.0048037462364726655,0.22400024509699243,0.4414822255921278,2.832,EGM2,1e-05
1e-05EGM3,5.645201820127914e-17,-1.0255449973232379e-16,-5.08538597296523e-17,0.0,0.21629744749570295,0.00170964032921811,0.27109870115747214,0.056905441587717584,0.0048037462364726655,0.007702797601289465,0.4414822255921278,2.832,EGM3,1e-05
1e-05EGM4,5.645201820127914e-17,-7.487843036181173e-17,-5.08538597296523e-17,0.0,0.0,0.21800708782492104,0.27109870115747214,0.056905441587717584,0.0048037462364726655,0.007702797601289465,0.4414822255921278,2.832,EGM4,1e-05
1e-05EGM5,-1.6935605460383743e-16,6.836966648821585e-17,-5.08538597296523e-17,6.696438432728546e-05,0.21626485704156473,0.0017096403292181095,0.27108917875000044,0.05691026250000004,0.004804153200000004,0.007702281788190496,0.4414526620066995,2.832,EGM5,1e-05
1e-05EGM6,5.645201820127914e-17,1.0583652748458097e-17,-5.08538597296523e-17,0.0,0.0,0.00170964032921811,0.27109870115747214,0.2732028890834205,0.0048037462364726655,0.007702797601289465,0.4414822255921278,2.832,EGM6,1e-05
1e-05EGM7,0.0,1.4857800142290805e-17,0.0,0.0,0.0,0.0017096403292181095,0.48739574168964767,0.056905441587717584,0.004804153200000004,0.007702797601289465,0.4414822255921277,2.832,EGM7,1e-05
1e-05EGM8,-1.6935605460383743e-16,6.529367830400405e-17,-5.08538597296523e-17,6.696438432728546e-05,0.0,0.0017096403292181095,0.27108917875000044,0.05691026250000004,0.004804153200000004,0.22396713882975525,0.4414526620066995,2.832,EGM8,1e-05
1e-05EGM9,-1.6935605460383743e-16,5.674746999297708e-17,-5.08538597296523e-17,6.696438432728546e-05,0.0,0.2179744973707828,0.27108917875000044,0.05691026250000004,0.004804153200000004,0.007702281788190496,0.4414526620066995,2.832,EGM9,1e-05
1e-05EGM10,0.0,-5.351186634592506e-17,0.0,0.0,0.0,0.21800668086139371,0.2710987011574721,0.056905441587717584,0.004804153200000004,0.007702797601289465,0.4414822255921277,2.832,EGM10,1e-05
1e-05EGM11,-1.1290403640255829e-16,-5.051359941649493e-18,0.0,0.0,0.0,0.21797332832282115,0.27108917875000044,0.056910262500000044,0.004804153200000004,0.007703450166501671,0.4415196270606774,2.832,EGM11,1e-05
1e-05EGM12,-1.6935605460383743e-16,7.383988661503104e-17,-5.08538597296523e-17,6.696438432728546e-05,0.0,0.0017096403292181095,0.27108917875000044,0.27317511954156476,0.004804153200000004,0.007702281788190496,0.4414526620066995,2.832,EGM12,1e-05
1e-05EGM13,-1.1290403640255829e-16,-4.77824014967844e-17,0.0,0.0,0.0,0.00170964032921811,0.27108917875000044,0.2731739504936031,0.004804153200000004,0.007703450166501671,0.4415196270606774,2.832,EGM13,1e-05
1e-05EGM14,-1.1290403640255829e-16,0.0,0.0,0.0,0.216263687993603,0.00170964032921811,0.27108917875000044,0.056910262500000044,0.004804153200000004,0.007703450166501671,0.4415196270606774,2.832,EGM14,1e-05
1e-05EGM15,0.0,3.4184833244107927e-17,0.0,0.0,0.21629704053217558,0.0017096403292181095,0.2710987011574721,0.056905441587717584,0.004804153200000004,0.007702797601289465,0.4414822255921277,2.832,EGM15,1e-05
1e-05EGM16,5.645201820127914e-17,1.592503294284996e-17,-5.08538597296523e-17,0.0,0.0,0.0017096403292181095,0.2710987011574721,0.056905441587717584,0.004804153200000004,0.22399983813346508,0.4414822255921278,2.832,EGM16,1e-05
1e-05EGM17,-1.6935605460383743e-16,9.093230323708502e-17,-5.08538597296523e-17,6.696438432728546e-05,0.0,0.0017096403292181095,0.48735403579156517,0.05691026250000004,0.004804153200000004,0.007702281788190496,0.4414526620066995,2.832,EGM17,1e-05
1e-05EGM18,0.0,3.1950216764344766e-17,0.0,0.0,0.0,0.0017096403292181095,0.2710987011574721,0.2732024821198932,0.004804153200000004,0.007702797601289465,0.4414822255921277,2.832,EGM18,1e-05
1e-05EGM19,-1.1290403640255829e-16,-1.0760585967397328e-16,0.0,0.0,0.0,0.00170964032921811,0.4873528667436035,0.056910262500000044,0.004804153200000004,0.007703450166501671,0.4415196270606774,2.832,EGM19,1e-05
1e-05EGM20,-5.645201820127914e-17,5.263554615778263e-17,-5.08538597296523e-17,0.0,0.0,0.0017096403292181095,0.27108917875000044,0.056910262500000044,0.004804153200000004,0.22396713816010466,0.4415196270606774,2.832,EGM20,1e-05
0.005EGM1,0.0,-8.317867602540607e-17,-5.0764233610988823e-17,0.0,0.0,0.0017126587620027458,0.27178096849114863,0.056902817082202434,0.004803524685455061,0.22190614764366162,0.4428938833355301,2.837,EGM1,0.005
0.005EGM2,0.0,-2.665983205942502e-17,-5.0764233610988823e-17,0.0,0.0,0.0017126587620027458,0.27178096849114863,0.271067894052249,0.004803524685455061,0.007741070673614996,0.4428938833355301,2.837,EGM2,0.005
0.005EGM3,-5.635252574762867e-17,-1.9728275723974515e-17,0.0,0.0001030901721150986,0.0,0.0017126587620027453,0.27176626208333376,0.056910262500000024,0.004804153200000003,0.22185534795368062,0.4428482253288683,2.837,EGM3,0.005
0.005EGM4,-5.635252574762867e-17,-3.412458503606403e-17,0.0,0.0001030901721150986,0.21411507530837373,0.0017126587620027453,0.27176626208333376,0.056910262500000024,0.004804153200000003,0.007740272645306898,0.4428482253288683,2.837,EGM4,0.005
0.005EGM5,0.0,3.732376488319503e-17,-1.0152846722197765e-16,0.0,0.0,0.0017126587620027458,0.4859454169466502,0.05690281708220242,0.004804153200000003,0.007741070673614996,0.4428938833355301,2.837,EGM5,0.005
0.005EGM6,-1.69057577242886e-16,1.1117149968780235e-16,0.0,0.0,0.0,0.0017126587620027458,0.27176626208333376,0.056910262500000024,0.004804153200000003,0.22185482991261476,0.4429518335420493,2.837,EGM6,0.005
0.005EGM7,-5.635252574762867e-17,-5.705204060716955e-17,0.0,0.0001030901721150986,0.0,0.0017126587620027453,0.27176626208333376,0.2710253378083738,0.004804153200000003,0.007740272645306898,0.4428482253288683,2.837,EGM7,0.005
0.005EGM8,0.0,0.0,-1.0152846722197765e-16,0.0,0.21416444845550162,0.0017126587620027458,0.27178096849114863,0.05690281708220242,0.004804153200000003,0.007741070673614996,0.4428938833355301,2.837,EGM8,0.005
0.005EGM9,5.635252574762867e-17,5.411945908063279e-17,-1.0152846722197765e-16,0.0,0.0,0.2158254051248687,0.27176626208333376,0.05691026250000004,0.004804153200000003,0.0077420835497487486,0.4429518335420494,2.837,EGM9,0.005
0.005EGM10,-5.635252574762867e-17,3.679056824200653e-17,0.0,0.0001030901721150986,0.0,0.0017126587620027453,0.4858813373917074,0.056910262500000024,0.004804153200000003,0.007740272645306898,0.4428482253288683,2.837,EGM10,0.005
0.005EGM11,-1.1270505149525734e-16,1.9728275723974515e-17,0.0,0.0,0.0,0.0017126587620027458,0.27178096849114863,0.05690281708220242,0.004804153200000003,0.22190551912911663,0.44289388333553004,2.837,EGM11,0.005
0.005EGM12,0.0,-7.784670961352105e-17,-5.0764233610988823e-17,0.0,0.0,0.0017126587620027458,0.48594604546119524,0.056902817082202434,0.004803524685455061,0.007741070673614996,0.4428938833355301,2.837,EGM12,0.005
0.005EGM13,0.0,-1.0237375510819208e-16,-5.0764233610988823e-17,0.0,0.2141650769700466,0.0017126587620027458,0.27178096849114863,0.056902817082202434,0.004803524685455061,0.007741070673614996,0.4428938833355301,2.837,EGM13,0.005
0.005EGM14,0.0,-3.0925405188933024e-17,-1.0152846722197765e-16,0.0,0.0,0.21587710721750442,0.27178096849114863,0.05690281708220242,0.004804153200000003,0.007741070673614996,0.4428938833355301,2.837,EGM14,0.005
0.005EGM15,0.0,1.1730326106147009e-17,-1.0152846722197765e-16,0.0,0.0,0.0017126587620027458,0.27178096849114863,0.27106726553770405,0.004804153200000003,0.007741070673614996,0.4428938833355301,2.837,EGM15,0.005
0.005EGM16,5.635252574762867e-17,3.705716656260078e-17,-1.0152846722197765e-16,0.0,0.0,0.0017126587620027458,0.27176626208333376,0.27102300886286607,0.004804153200000003,0.0077420835497487486,0.4429518335420494,2.837,EGM16,0.005
0.005EGM17,0.0,-7.784670961352105e-17,-5.0764233610988823e-17,0.0,0.0,0.21587773573204933,0.27178096849114863,0.056902817082202434,0.004803524685455061,0.007741070673614996,0.4428938833355301,2.837,EGM17,0.005
0.005EGM18,5.635252574762867e-17,3.412458503606403e-17,-1.0152846722197765e-16,0.0,0.21411274636286598,0.0017126587620027458,0.27176626208333376,0.05691026250000004,0.004804153200000003,0.0077420835497487486,0.4429518335420494,2.837,EGM18,0.005
0.005EGM19,5.635252574762867e-17,1.9994874044568766e-17,-1.0152846722197765e-16,0.0,0.0,0.0017126587620027458,0.4858790084461998,0.05691026250000004,0.004804153200000003,0.0077420835497487486,0.4429518335420494,2.837,EGM19,0.005
0.005EGM20,-5.635252574762867e-17,-6.558318686618556e-17,0.0,0.0001030901721150986,0.0,0.2158277340703765,0.27176626208333376,0.056910262500000024,0.004804153200000003,0.007740272645306898,0.4428482253288683,2.837,EGM20,0.005
0.01EGM1,-5.625338337298471e-17,1.170968865698067e-17,0.0,0.0,0.0,0.2137372712700183,0.27246628996429345,0.05689864635651994,0.004803172608268036,0.007779596738200545,0.44431502306270043,2.842,EGM1,0.01
0.01EGM2,0.0,9.580654355711458e-17,-5.067492285516372e-17,0.0,0.0,0.21365532170267967,0.2724433454166671,0.05691026250000003,0.004804153200000003,0.007781184981818186,0.44440573219883556,2.842,EGM2,0.01
0.01EGM3,0.0,-1.2348398947361435e-16,0.0,0.00016032411232031678,0.0,0.001715677194787383,0.27244334541666715,0.05691026250000005,0.004804153200000004,0.2197224489251885,0.44424378865103736,2.842,EGM3,0.01
0.01EGM4,-5.625338337298471e-17,-7.451620054442245e-18,0.0,0.0,0.0,0.001715677194787383,0.27246628996429345,0.05689864635651994,0.004803172608268036,0.21980119081343147,0.44431502306270043,2.842,EGM4,0.01
0.01EGM5,0.0,-1.0751623221409526e-16,5.067492285516372e-17,0.0,0.0,0.0017156771947873827,0.2724433454166671,0.056910262500000044,0.004804153200000003,0.21972082948971053,0.44440573219883556,2.842,EGM5,0.01
0.01EGM6,0.0,-1.3625819528122963e-16,0.0,0.00016032411232031678,0.2119440994439292,0.001715677194787383,0.27244334541666715,0.05691026250000005,0.004804153200000004,0.007778349481259282,0.44424378865103736,2.842,EGM6,0.01
0.01EGM7,-5.625338337298471e-17,-1.0645171506346064e-17,-5.067492285516372e-17,0.0,0.0,0.0017156771947873827,0.4844869034477924,0.05689864635651994,0.004804153200000004,0.007779596738200545,0.44431502306270043,2.842,EGM7,0.01
0.01EGM8,0.0,-1.320001266786912e-16,0.0,0.00016032411232031678,0.0,0.001715677194787383,0.48438744486059643,0.05691026250000005,0.004804153200000004,0.007778349481259282,0.44424378865103736,2.842,EGM8,0.01
0.01EGM9,0.0,9.580654355711458e-17,-5.067492285516372e-17,0.0,0.0,0.0017156771947873827,0.48438298992455936,0.05691026250000003,0.004804153200000003,0.007781184981818186,0.44440573219883556,2.842,EGM9,0.01
0.01EGM10,0.0,-1.0645171506346065e-16,0.0,0.00016032411232031678,0.0,0.001715677194787383,0.27244334541666715,0.2688543619439292,0.004804153200000004,0.007778349481259282,0.44424378865103736,2.842,EGM10,0.01
0.01EGM11,0.0,3.619358312157662e-17,-5.067492285516372e-17,0.0,0.0,0.0017156771947873827,0.2724433454166671,0.2688499070078923,0.004804153200000003,0.007781184981818186,0.44440573219883556,2.842,EGM11,0.01
0.01EGM12,-5.625338337298471e-17,0.0,0.0,0.0,0.21202159407523094,0.001715677194787383,0.27246628996429345,0.05689864635651994,0.004803172608268036,0.007779596738200545,0.44431502306270043,2.842,EGM12,0.01
0.01EGM13,-5.625338337298471e-17,-4.470972032665347e-17,-5.067492285516372e-17,0.0,0.0,0.21373629067828637,0.27246628996429345,0.05689864635651994,0.004804153200000004,0.007779596738200545,0.44431502306270043,2.842,EGM13,0.01
0.01EGM14,-5.625338337298471e-17,-2.2354860163326735e-17,0.0,0.0,0.0,0.001715677194787383,0.48448788403952436,0.05689864635651994,0.004803172608268036,0.007779596738200545,0.44431502306270043,2.842,EGM14,0.01
0.01EGM15,-5.625338337298471e-17,1.170968865698067e-17,0.0,0.0,0.0,0.001715677194787383,0.27246628996429345,0.26892024043175083,0.004803172608268036,0.007779596738200545,0.44431502306270043,2.842,EGM15,0.01
0.01EGM16,-5.625338337298471e-17,-1.0645171506346064e-17,-5.067492285516372e-17,0.0,0.0,0.0017156771947873827,0.27246628996429345,0.2689192598400189,0.004804153200000004,0.007779596738200545,0.44431502306270043,2.842,EGM16,0.01
0.01EGM17,0.0,3.4064548820307407e-17,-5.067492285516372e-17,0.0,0.21193964450789227,0.0017156771947873827,0.2724433454166671,0.05691026250000003,0.004804153200000003,0.007781184981818186,0.44440573219883556,2.842,EGM17,0.01
0.01EGM18,-5.625338337298471e-17,-3.4064548820307407e-17,-5.067492285516372e-17,0.0,0.21202061348349896,0.0017156771947873827,0.27246628996429345,0.05689864635651994,0.004804153200000004,0.007779596738200545,0.44431502306270043,2.842,EGM18,0.01
0.01EGM19,0.0,-9.793557785838379e-17,0.0,0.00016032411232031678,0.0,0.21365977663871658,0.27244334541666715,0.05691026250000005,0.004804153200000004,0.007778349481259282,0.44424378865103736,2.842,EGM19,0.01
0.01EGM20,5.625338337298471e-17,2.6612928765865163e-17,-5.067492285516372e-17,0.0,0.0,0.0017156771947873827,0.27246628996429345,0.05689864635651994,0.004804153200000003,0.2198002102216995,0.44431502306270043,2.842,EGM20,0.01
0.015EGM1,1.1230917846576924e-16,-7.438533261231072e-17,0.0,0.0,0.0,0.001718695627572019,0.2731204287500005,0.05691026250000004,0.004804153200000004,0.21756930363180962,0.44587715629061847,2.847,EGM1,0.015
0.015EGM2,0.0,-1.7002361739956737e-16,0.0,0.0,0.20974862024906848,0.0017186956275720188,0.2731204287500005,0.05691026250000004,0.004804153200000004,0.007820683382741122,0.44587715629061847,2.847,EGM2,0.015
0.015EGM3,5.615458923288462e-17,4.781914239362832e-17,-1.0117185160124713e-16,0.0,0.0,0.001718695627572019,0.2731540590620706,0.05689323647113035,0.004804153200000004,0.21768609387187882,0.44574376176734887,2.847,EGM3,0.015
0.015EGM4,-1.6846376769865388e-16,1.540839032683579e-16,0.0,0.0,0.0,0.21158644585606787,0.2731540590620706,0.05689323647113035,0.004804153200000004,0.007818343643382948,0.4457437617673488,2.847,EGM4,0.015
0.015EGM5,-5.615458923288462e-17,0.0,5.058592580062357e-17,0.0,0.20986918750267955,0.001718695627572019,0.2731540590620706,0.05689323647113036,0.0048027159258163254,0.007818343643382948,0.4457437617673488,2.847,EGM5,0.015
0.015EGM6,-1.1230917846576924e-16,1.806500934870403e-17,0.0,0.00023423725265130487,0.0,0.21147505402809524,0.2731204287500005,0.05691026250000005,0.004804153200000004,0.00781651229604764,0.44563935197320603,2.847,EGM6,0.015
0.015EGM7,-5.615458923288462e-17,-1.9127656957451328e-17,5.058592580062357e-17,0.0,0.0,0.001718695627572019,0.2731540590620706,0.05689323647113036,0.0048027159258163254,0.2176875311460625,0.4457437617673488,2.847,EGM7,0.015
0.015EGM8,-5.615458923288462e-17,-2.0190304566198623e-17,5.058592580062357e-17,0.0,0.0,0.2115878831302516,0.2731540590620706,0.05689323647113036,0.0048027159258163254,0.007818343643382948,0.4457437617673488,2.847,EGM8,0.015
0.015EGM9,0.0,-1.1582858935345528e-16,0.0,0.0,0.0,0.0017186956275720188,0.2731204287500005,0.2666588827490685,0.004804153200000004,0.007820683382741122,0.44587715629061847,2.847,EGM9,0.015
0.015EGM10,-1.6846376769865388e-16,1.0201417043974041e-16,0.0,0.0,0.20986775022849583,0.0017186956275720188,0.2731540590620706,0.05689323647113035,0.004804153200000004,0.007818343643382948,0.4457437617673488,2.847,EGM10,0.015
0.015EGM11,0.0,-9.032504674352016e-17,0.0,0.0,0.0,0.0017186956275720188,0.4828690489990689,0.05691026250000004,0.004804153200000004,0.007820683382741122,0.44587715629061847,2.847,EGM11,0.015
0.015EGM12,-1.1230917846576924e-16,0.0,0.0,0.00023423725265130487,0.2097563584005232,0.001718695627572019,0.2731204287500005,0.05691026250000005,0.004804153200000004,0.00781651229604764,0.44563935197320603,2.847,EGM12,0.015
0.015EGM13,-5.615458923288462e-17,-5.419502804611209e-17,5.058592580062357e-17,0.0,0.0,0.001718695627572019,0.48302324656475015,0.05689323647113036,0.0048027159258163254,0.007818343643382948,0.4457437617673488,2.847,EGM13,0.015
0.015EGM14,-5.615458923288462e-17,2.2315599783693214e-17,5.058592580062357e-17,0.0,0.0,0.001718695627572019,0.2731540590620706,0.2667624239738099,0.0048027159258163254,0.007818343643382948,0.4457437617673488,2.847,EGM14,0.015
0.015EGM15,-1.1230917846576924e-16,3.506737108866077e-17,0.0,0.00023423725265130487,0.0,0.001718695627572019,0.2731204287500005,0.26666662090052323,0.004804153200000004,0.00781651229604764,0.44563935197320603,2.847,EGM15,0.015
