,wIG,wEAA,wENT,wRNAP,wAF,wrP,x
1e-05EGM1,0.0030610069970088195,0.8726531515695108,0.10188573110435668,0.008600815382275468,0.013791390476190483,7.904470656764234e-06,1e-05
1e-05EGM2,0.0030610069970088195,0.4853857311043566,0.10188573110435668,0.008600815382275468,0.4010588109413447,7.904470656764234e-06,1e-05
1e-05EGM3,0.0030610069970088195,0.4853857311043566,0.10188573110435668,0.008600815382275468,0.013791390476190483,0.387275324935811,1e-05
1e-05EGM4,0.39032842746216306,0.4853857311043566,0.10188573110435668,0.008600815382275468,0.013791390476190483,7.904470656764234e-06,1e-05
1e-05EGM5,0.003061211989184971,0.4854011864047098,0.10190118640470977,0.008602120061385816,0.013791390476190483,0.3872429046638184,1e-05
1e-05EGM6,0.0030610069970088195,0.4853857311043566,0.4891531515695109,0.008600815382275468,0.013791390476190483,7.904470656764234e-06,1e-05
1e-05EGM7,0.00306100699700882,0.8726524229260745,0.10188573110435671,0.008601544025711998,0.013791390476190487,7.904470656764234e-06,1e-05
1e-05EGM8,0.003061211989184971,0.4854011864047098,0.10190118640470977,0.008602120061385816,0.40102639066935214,7.904470656764234e-06,1e-05
1e-05EGM9,0.3902962121823466,0.4854011864047098,0.10190118640470977,0.008602120061385816,0.013791390476190483,7.904470656764234e-06,1e-05
1e-05EGM10,0.39032769881872664,0.4853857311043566,0.10188573110435671,0.008601544025711998,0.013791390476190487,7.904470656764234e-06,1e-05
1e-05EGM11,0.39023492322532505,0.4853275658572725,0.10188573110435671,0.00860081538227547,0.013791390476190483,7.904470656764234e-06,1e-05
1e-05EGM12,0.003061211989184971,0.4854011864047098,0.4891361865978714,0.008602120061385816,0.013791390476190483,7.904470656764234e-06,1e-05
1e-05EGM13,0.003060747696742394,0.4853275658572725,0.4890599066329394,0.00860081538227547,0.013791390476190483,7.904470656764234e-06,1e-05
1e-05EGM14,0.003060747696742394,0.4853275658572725,0.10188573110435671,0.00860081538227547,0.013791390476190483,0.38718207999923937,1e-05
1e-05EGM15,0.00306100699700882,0.4853857311043566,0.10188573110435671,0.008601544025711998,0.013791390476190487,0.3872745962923745,1e-05
1e-05EGM16,0.0030610069970088195,0.48538573110435657,0.10188573110435668,0.008601544025711996,0.4010580822979082,7.904470656764234e-06,1e-05
1e-05EGM17,0.003061211989184971,0.8726361865978715,0.10190118640470977,0.008602120061385816,0.013791390476190483,7.904470656764234e-06,1e-05
1e-05EGM18,0.00306100699700882,0.4853857311043566,0.48915242292607447,0.008601544025711998,0.013791390476190487,7.904470656764234e-06,1e-05
1e-05EGM19,0.003060747696742394,0.8725017413858553,0.10188573110435671,0.00860081538227547,0.013791390476190483,7.904470656764234e-06,1e-05
1e-05EGM20,0.003060747696742394,0.4853275658572725,0.10188573110435671,0.00860081538227547,0.4009655660047731,7.904470656764234e-06,1e-05
0.005EGM1,0.0030620341976010626,0.48591268630995377,0.10173560297662051,0.008588142122768472,0.3967423212480624,0.003959213144992962,0.005
0.005EGM2,0.0030620341976010626,0.48591268630995377,0.48463779234637605,0.008588142122768472,0.013840131878306886,0.003959213144992962,0.005
0.005EGM3,0.003062349895778895,0.4859364882435249,0.10175940491019148,0.008590151393685668,0.3966923924118255,0.003959213144992963,0.005
0.005EGM4,0.003062349895778895,0.4859364882435249,0.10175940491019148,0.008590151393685668,0.013840131878306888,0.38681147367851165,0.005
0.005EGM5,0.0030620341976010626,0.8688137519689776,0.10173560297662051,0.008589265833499997,0.013840131878306886,0.003959213144992962,0.005
0.005EGM6,0.0030616335998369655,0.485822825746942,0.10173560297662051,0.008588142122768474,0.3965986783918882,0.003959213144992963,0.005
0.005EGM7,0.003062349895778895,0.4859364882435249,0.4846116654437101,0.008590151393685668,0.013840131878306888,0.003959213144992963,0.005
0.005EGM8,0.0030620341976010626,0.48591268630995377,0.10173560297662051,0.008589265833499997,0.013840131878306886,0.3868602788040169,0.005
0.005EGM9,0.3858201801134181,0.48582282574694186,0.1017356029766205,0.00858814212276847,0.013840131878306886,0.003959213144992962,0.005
0.005EGM10,0.003062349895778895,0.8687887487770434,0.10175940491019148,0.008590151393685668,0.013840131878306888,0.003959213144992963,0.005
0.005EGM11,0.003062034197601063,0.4859126863099539,0.10173560297662053,0.008589265833499999,0.3967411975373309,0.003959213144992962,0.005
0.005EGM12,0.0030620341976010626,0.8688148756797094,0.10173560297662051,0.008588142122768472,0.013840131878306886,0.003959213144992962,0.005
0.005EGM13,0.0030620341976010626,0.48591268630995377,0.10173560297662051,0.008588142122768472,0.013840131878306886,0.3868614025147485,0.005
0.005EGM14,0.3859630998566251,0.48591268630995377,0.10173560297662051,0.008589265833499997,0.013840131878306886,0.003959213144992962,0.005
0.005EGM15,0.0030620341976010626,0.48591268630995377,0.4846366686356445,0.008589265833499997,0.013840131878306886,0.003959213144992962,0.005
0.005EGM16,0.0030616335998369646,0.48582282574694186,0.48449414949020175,0.00858814212276847,0.013840131878306886,0.003959213144992962,0.005
0.005EGM17,0.38596422356735666,0.48591268630995377,0.10173560297662051,0.008588142122768472,0.013840131878306886,0.003959213144992962,0.005
0.005EGM18,0.0030616335998369646,0.48582282574694186,0.1017356029766205,0.00858814212276847,0.013840131878306886,0.3867177596585742,0.005
0.005EGM19,0.0030616335998369646,0.8685813722605231,0.1017356029766205,0.00858814212276847,0.013840131878306886,0.003959213144992962,0.005
0.005EGM20,0.38591461042929753,0.4859364882435249,0.10175940491019148,0.008590151393685668,0.013840131878306888,0.003959213144992963,0.005
0.01EGM1,0.3815863922968813,0.4864356506107171,0.10158148394405052,0.008575131965883288,0.01388895925925927,0.007932381923207612,0.01
0.01EGM2,0.38136223024980226,0.48629540793466847,0.10158148394405052,0.008575131965883288,0.013888959259259268,0.007932381923207612,0.01
0.01EGM3,0.003063499617477252,0.48647268087725276,0.1016185142105861,0.008578257923586852,0.39233466544788864,0.007932381923207613,0.01
0.01EGM4,0.003063008464620486,0.4864356506107171,0.10158148394405052,0.008575131965883288,0.39241234309152007,0.007932381923207612,0.01
0.01EGM5,0.003062383263747343,0.48629540793466847,0.10158148394405055,0.008575131965883288,0.39218880624531427,0.007932381923207612,0.01
0.01EGM6,0.003063499617477252,0.48647268087725276,0.1016185142105861,0.008578257923586852,0.01388895925925927,0.38637808811183694,0.01
