,wIG,wEAA,wENT,wRNAP,wAF,wRNase,wrP,prot_fraction,name
1e-05EGM1,0.0017230417273320499,0.5967686143947702,0.04461347386405212,0.12649786878509225,0.2028390827242197,0.02755268793320006,5.230571331488757e-06,1e-05,R_deg_noact
1e-05EGM2,0.0017230417273320499,0.5967686143947702,0.04461347386405212,0.1267605427900822,0.202608667616402,0.027520429036027822,5.230571331488756e-06,1e-05,R_deg_noact
1e-05EGM3,0.0017230417273320499,0.5967686143947702,0.04461347386405212,0.12635417349874326,0.20301503690774095,0.027520429036027822,5.230571331488756e-06,1e-05,R_deg_noact
1e-05EGM4,0.001724781707060164,0.5970309844989519,0.044744658916140406,0.1263652476540918,0.202608667616404,0.027520429036028093,5.23057133148881e-06,1e-05,R_deg_noact
1e-05EGM5,0.0017230417273320499,0.5967686143947702,0.04461347386405212,0.12635417349874326,0.202608667616402,0.027926798327366772,5.230571331488756e-06,1e-05,R_deg_noact
1e-05EGM6,0.001722106038770153,0.5963488342136932,0.044613473864052254,0.12635417349874367,0.20260866761640262,0.027520429036027916,5.230571331488774e-06,1e-05,R_deg_noact
1e-05EGM7,0.0017230417273320499,0.5967686143947702,0.04461347386405212,0.12635417349874326,0.202608667616402,0.027520429036027822,0.0004115998626704312,1e-05,R_deg_noact
1e-05EGM8,0.002129411018671005,0.5967686143947739,0.044613473864052386,0.12635417349874403,0.20260866761640325,0.027520429036027992,5.23057133148879e-06,1e-05,R_deg_noact
1e-05EGM9,0.0017230417273320499,0.5971749836861092,0.04461347386405212,0.12635417349874326,0.202608667616402,0.027520429036027822,5.230571331488756e-06,1e-05,R_deg_noact
1e-05EGM10,0.0017230417273320499,0.5967686143947702,0.04501984315539106,0.12635417349874326,0.202608667616402,0.027520429036027822,5.230571331488756e-06,1e-05,R_deg_noact
0.005EGM1,0.001721321171242206,0.596688977101628,0.04443823855081348,0.12530767478148894,0.20193829114005585,0.02728881602570604,0.0026166812290665557,0.005,R_deg_noact
0.005EGM2,0.001721321171242206,0.5966889771016279,0.04443823855081347,0.12553519379624983,0.20173859126984178,0.027260996881159166,0.0026166812290665553,0.005,R_deg_noact
0.005EGM3,0.001721321171242206,0.5966889771016279,0.04443823855081347,0.12518375610192892,0.20209002896416273,0.027260996881159166,0.0026166812290665553,0.005,R_deg_noact
0.005EGM4,0.0017228259465213453,0.596915880921468,0.044551690460733234,0.12519333329121168,0.20173859126984206,0.027260996881159193,0.002616681229066558,0.005,R_deg_noact
0.005EGM5,0.001721321171242206,0.5966889771016279,0.04443823855081347,0.12518375610192892,0.20173859126984178,0.027612434575480065,0.0026166812290665553,0.005,R_deg_noact
0.005EGM6,0.0017205110864843408,0.5963255468533689,0.04443823855081325,0.12518375610192828,0.20173859126984078,0.027260996881159027,0.0026166812290665414,0.005,R_deg_noact
0.005EGM7,0.001721321171242206,0.5966889771016279,0.04443823855081347,0.12518375610192892,0.20173859126984178,0.027260996881159166,0.002968118923387456,0.005,R_deg_noact
0.005EGM8,0.002072758865563095,0.5966889771016243,0.0444382385508132,0.12518375610192814,0.2017385912698406,0.027260996881158996,0.0026166812290665388,0.005,R_deg_noact
0.005EGM9,0.001721321171242206,0.5970404147959487,0.04443823855081347,0.12518375610192892,0.20173859126984178,0.027260996881159166,0.0026166812290665553,0.005,R_deg_noact
0.005EGM10,0.001721321171242206,0.5966889771016279,0.04478967624513437,0.12518375610192892,0.20173859126984178,0.027260996881159166,0.0026166812290665553,0.005,R_deg_noact
0.01EGM1,0.0017195887144490082,0.5966075453112657,0.044262105988967494,0.12411808375437137,0.20103142615884229,0.0270250964873206,0.00523615358477741,0.01,R_deg_noact
0.01EGM2,0.0017195887144490086,0.5966075453112657,0.04426210598896751,0.12430700384931427,0.20086550370370254,0.027002098847517565,0.005236153584777411,0.01,R_deg_noact
0.01EGM3,0.0017195887144490192,0.5966075453112695,0.04426210598896779,0.12401564217308675,0.20115686537993202,0.027002098847517732,0.005236153584777443,0.01,R_deg_noact
0.01EGM4,0.0017208362580528028,0.596795661379523,0.044356164023093676,0.12402358220333444,0.20086550370370443,0.02700209884751783,0.005236153584777463,0.01,R_deg_noact
0.01EGM5,0.0017195887144490086,0.5966075453112657,0.04426210598896751,0.12401564217308597,0.20086550370370254,0.027293460523745847,0.005236153584777411,0.01,R_deg_noact
0.01EGM6,0.0017189163786491342,0.5963059137050783,0.044262105988967654,0.12401564217308643,0.2008655037037032,0.027002098847517655,0.00523615358477743,0.01,R_deg_noact
0.01EGM7,0.0017195887144490192,0.5966075453112694,0.04426210598896778,0.12401564217308675,0.2008655037037037,0.027002098847517732,0.005527515261005725,0.01,R_deg_noact
0.01EGM8,0.0020109503906773018,0.5966075453112694,0.04426210598896778,0.12401564217308675,0.20086550370370373,0.02700209884751773,0.005236153584777442,0.01,R_deg_noact
0.01EGM9,0.0017195887144490086,0.596898906987494,0.04426210598896751,0.12401564217308597,0.20086550370370254,0.027002098847517565,0.005236153584777411,0.01,R_deg_noact
0.01EGM10,0.0017195887144490086,0.5966075453112657,0.04455346766519578,0.12401564217308597,0.20086550370370254,0.027002098847517565,0.005236153584777411,0.01,R_deg_noact
0.015EGM1,0.0017178502692879682,0.5965252105398731,0.04408552193660333,0.12293121588668207,0.20011978745913747,0.026761996841282144,0.007858417067132658,0.015,R_deg_noact
0.015EGM2,0.0017178502692879682,0.596525210539873,0.04408552193660333,0.12307734199738703,0.19999137063492067,0.026744287554793942,0.007858417067132658,0.015,R_deg_noact
0.015EGM3,0.0017178502692879682,0.5965252105398731,0.04408552193660333,0.1228523309521051,0.20021638168020264,0.026744287554793942,0.007858417067132658,0.015,R_deg_noact
0.015EGM4,0.0017188137147690602,0.596670487687167,0.04415816051024792,0.1228584628309746,0.19999137063492253,0.026744287554794195,0.007858417067132733,0.015,R_deg_noact
0.015EGM5,0.0017178502692879682,0.596525210539873,0.04408552193660333,0.12285233095210508,0.19999137063492067,0.026969298600075905,0.007858417067132658,0.015,R_deg_noact
0.015EGM6,0.001717330477580892,0.5962920151522149,0.0440855219366034,0.1228523309521053,0.199991370634921,0.026744287554793994,0.007858417067132672,0.015,R_deg_noact
0.015EGM7,0.0017178502692879682,0.596525210539873,0.04408552193660333,0.12285233095210508,0.19999137063492067,0.026744287554793942,0.008083428112414612,0.015,R_deg_noact
0.015EGM8,0.0019428613145699126,0.5965252105398694,0.04408552193660306,0.12285233095210432,0.19999137063491948,0.02674428755479378,0.00785841706713261,0.015,R_deg_noact
0.015EGM9,0.0017178502692879682,0.5967502215851549,0.04408552193660333,0.12285233095210508,0.19999137063492067,0.026744287554793942,0.007858417067132658,0.015,R_deg_noact
