,wIG,wEAA,wENT,wRNAP,wAF,wRNase,wrP,prot_fraction,name
1e-05EGM1,0.0008997566356600691,0.3327386735668262,0.017952670116746467,0.5817492066274695,0.058768523332554265,0.007887570809210258,3.59891153199302e-06,1e-05,R_deg_hill2_glc
1e-05EGM2,0.0008997566356600723,0.33273867356682724,0.017952670116746533,0.5817725394305074,0.05874805602240919,0.007884705316319554,3.5989115319930326e-06,1e-05,R_deg_hill2_glc
1e-05EGM3,0.0008997566356600723,0.33273867356682735,0.017952670116746533,0.5815466008656859,0.058973994587230814,0.007884705316319553,3.5989115319930318e-06,1e-05,R_deg_hill2_glc
1e-05EGM4,0.0009004450360650417,0.3328424768945613,0.01800457178061367,0.5816161460385004,0.05874805602240913,0.007884705316319546,3.598911531993029e-06,1e-05,R_deg_hill2_glc
1e-05EGM5,0.0008997566356600723,0.33273867356682735,0.017952670116746533,0.5815466008656859,0.058748056022409186,0.008110643881141173,3.5989115319930318e-06,1e-05,R_deg_hill2_glc
1e-05EGM6,0.0008995438398908894,0.3326432064956699,0.01795267011674652,0.5815466008656854,0.058748056022409144,0.007884705316319547,3.5989115319930292e-06,1e-05,R_deg_hill2_glc
1e-05EGM7,0.0008997566356600723,0.33273867356682735,0.017952670116746533,0.5815466008656859,0.058748056022409186,0.007884705316319553,0.00022953747635361222,1e-05,R_deg_hill2_glc
1e-05EGM8,0.0011256952004816876,0.33273867356682607,0.017952670116746467,0.5815466008656838,0.058748056022408984,0.007884705316319525,3.598911531993019e-06,1e-05,R_deg_hill2_glc
1e-05EGM9,0.0008997566356600723,0.33296461213164885,0.017952670116746533,0.5815466008656859,0.058748056022409186,0.007884705316319553,3.5989115319930318e-06,1e-05,R_deg_hill2_glc
1e-05EGM10,0.0008997566356600723,0.33273867356682735,0.01817860868156816,0.5815466008656859,0.058748056022409186,0.007884705316319553,3.5989115319930318e-06,1e-05,R_deg_hill2_glc
0.005EGM1,0.0008996046581781074,0.3328955609446965,0.017895697139014583,0.5797835097785831,0.058863680602183666,0.007860849272146633,0.0018010976051990666,0.005,R_deg_hill2_glc
0.005EGM2,0.0008996046581781044,0.33289556094469536,0.01789569713901452,0.5798516437210562,0.058803877515027164,0.007852518416827735,0.0018010976051990603,0.005,R_deg_hill2_glc
0.005EGM3,0.0008996046581781105,0.3328955609446976,0.017895697139014642,0.5791944734931819,0.059461047742905886,0.007852518416827789,0.0018010976051990725,0.005,R_deg_hill2_glc
0.005EGM4,0.0009016069557998657,0.33319748574711117,0.01804665954022204,0.5793967542198136,0.05880387751502732,0.007852518416827756,0.0018010976051990647,0.005,R_deg_hill2_glc
0.005EGM5,0.0008996046581781105,0.3328955609446976,0.017895697139014642,0.5791944734931819,0.05880387751502756,0.008509688644706111,0.0018010976051990725,0.005,R_deg_hill2_glc
0.005EGM6,0.0008989849112055756,0.33261752238897924,0.01789569713901458,0.5791944734931799,0.05880387751502738,0.007852518416827763,0.0018010976051990666,0.005,R_deg_hill2_glc
0.005EGM7,0.0008996046581781105,0.3328955609446976,0.017895697139014642,0.5791944734931819,0.05880387751502756,0.007852518416827789,0.0024582678330773954,0.005,R_deg_hill2_glc
0.005EGM8,0.0015567748860564282,0.3328955609446965,0.017895697139014583,0.5791944734931799,0.05880387751502737,0.007852518416827763,0.0018010976051990668,0.005,R_deg_hill2_glc
0.005EGM9,0.0008996046581781105,0.33355273117257594,0.017895697139014642,0.5791944734931819,0.05880387751502756,0.007852518416827789,0.0018010976051990725,0.005,R_deg_hill2_glc
0.005EGM10,0.0008996046581781105,0.3328955609446976,0.01855286736689296,0.5791944734931819,0.05880387751502756,0.007852518416827789,0.0018010976051990725,0.005,R_deg_hill2_glc
0.01EGM1,0.0009004811902720633,0.33338734036758955,0.017870753517127923,0.5774782055275034,0.05892573921897603,0.007828717611322835,0.0036087625672083343,0.01,R_deg_hill2_glc
0.01EGM2,0.0009004811902720633,0.33338734036758955,0.017870753517127923,0.5774898277462012,0.05891553179736183,0.007827302814239443,0.0036087625672083343,0.01,R_deg_hill2_glc
0.01EGM3,0.0009004811902720633,0.33338734036758955,0.017870753517127923,0.5773781717630577,0.05902718778050532,0.007827302814239443,0.0036087625672083343,0.01,R_deg_hill2_glc
0.01EGM4,0.000900821389051649,0.3334386386602073,0.017896402663436575,0.5774125401084966,0.05891553179736191,0.007827302814239453,0.0036087625672083395,0.01,R_deg_hill2_glc
0.01EGM5,0.0009004811902720631,0.33338734036758955,0.017870753517127923,0.5773781717630576,0.05891553179736183,0.007938958797382932,0.0036087625672083343,0.01,R_deg_hill2_glc
0.01EGM6,0.0009003756190698035,0.33333997770846807,0.01787075351712789,0.5773781717630564,0.05891553179736171,0.007827302814239427,0.0036087625672083273,0.01,R_deg_hill2_glc
0.01EGM7,0.0009004811902720633,0.33338734036758944,0.017870753517127923,0.5773781717630576,0.058915531797361816,0.007827302814239443,0.0037204185503518232,0.01,R_deg_hill2_glc
0.01EGM8,0.0010121371734155568,0.33338734036759055,0.017870753517127986,0.5773781717630598,0.058915531797362024,0.007827302814239469,0.003608762567208347,0.01,R_deg_hill2_glc
0.01EGM9,0.0009004811902720631,0.33349899635073305,0.017870753517127923,0.5773781717630576,0.05891553179736183,0.007827302814239443,0.0036087625672083343,0.01,R_deg_hill2_glc
