"","X","vIG","vEAA","vENT","vRNAP","vRNase","vAF","wIG","wEAA","wENT","wRNAP","wRNase","wAF","wrP","S0","S1","S2","S3","S4","S5","S6","S7","S8","S9","C","growth_rate","prot_fraction","EGVs","name"
"91","EGM1",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,0.0256560882252938,0.0256560882232231,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,3.05554228425345e-07,4.42706410466899e-08,8.31284303561564e-18,2.07071892620946e-12,0,0,0,0,0,0,0,0,0,3.08984156139135e-06,1,0.000120434158355321,0.36,"EGM1","deg_glc"
"92","EGM2",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.310865300477e-07,2.31084459328774e-07,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,3.15843452836618e-07,3.98745789358194e-13,8.31284303561564e-18,2.07071892620946e-12,0,0,0,0,0,3.19388973555904e-06,0,0,0,0,1,0.000120434158355321,0.36,"EGM2","deg_glc"
"93","EGM3",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.310865300477e-07,2.31084459328774e-07,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,2.75215246253335e-12,1.35893123637577e-06,8.31284303561564e-18,2.07071892620946e-12,0,0,0,0,0,0,9.48465778123845e-05,0,0,0,1,0.000120434158355321,0.36,"EGM3","deg_glc"
"94","EGM4",0.000669078657529559,0.00037138088677901,0.000371359227572728,8.18196098546887e-08,4.53003007202024e-12,4.05930326672656e-17,1.24351736100432e-13,2.48483025158237e-12,1.24234266722787e-12,9.74440356599836e-13,7.81675419511497e-18,1.62959590812405e-22,4.05930326672656e-17,8.18150797840237e-08,0,0,0,0,0,0,0,0,0,1,0.000120434158355321,0.36,"EGM4","deg_glc"
"95","EGM5",0.000669078657529559,0.000722533516086702,0.000193581073394659,0.00475943621365473,0.0047593935653245,4.26483302322608e-08,1.24351736100432e-13,4.83431754963402e-12,6.47604823550146e-13,5.6683070592546e-08,8.21253038644007e-09,1.7121052522607e-13,4.26483302322608e-08,0,0,0,0,0,0,0,0,22.7553215317651,0,1,0.000120434158355321,0.36,"EGM5","deg_glc"
"96","EGM6",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.310865300477e-07,2.31084459328774e-07,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,2.75215246253335e-12,3.98745789358194e-13,2.83284813083486e-07,2.07071892620946e-12,0,0,0,0,0,0,0,8.49854439225519e-06,0,0,1,0.000120434158355321,0.36,"EGM6","deg_glc"
"97","EGM7",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.310865300477e-07,2.31084459328774e-07,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,2.75215246253335e-12,3.98745789358194e-13,8.31284303561564e-18,1.4544213598252e-07,0,1.45440065263594e-07,0,0,0,0,0,0,0,0,1,0.000120434158355321,0.36,"EGM7","deg_glc"
"98","EGM8",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.310865300477e-07,2.31084459328774e-07,2.07071892620946e-12,1.71023351598204e-06,7.3925294533236e-12,3.14433779124942e-17,2.75215246253335e-12,3.98745789358194e-13,8.31284303561564e-18,2.07071892620946e-12,0,0,1.10823123777643,0,0,0,0,0,0,0,1,0.000120434158355321,0.36,"EGM8","deg_glc"
"99","EGM9",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.310865300477e-07,2.31084459328774e-07,2.07071892620946e-12,1.24351736100432e-13,2.26635242989592e-07,3.14433779124942e-17,2.75215246253335e-12,3.98745789358194e-13,8.31284303561564e-18,2.07071892620946e-12,0,0,0,0.00407930130828249,0,0,0,0,0,0,1,0.000120434158355321,0.36,"EGM9","deg_glc"
"100","EGM10",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,2.310865300477e-07,2.31084459328774e-07,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,2.26627850491582e-07,2.75215246253335e-12,3.98745789358194e-13,8.31284303561564e-18,2.07071892620946e-12,0,0,0,0,0.00815860261656498,0,0,0,0,0,1,0.000120434158355321,0.36,"EGM10","deg_glc"
"4861","EGM1",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,0.0256560882252938,0.0256560882232231,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,3.05554228425345e-07,4.42706410466899e-08,8.31284303561564e-18,2.07071892620946e-12,0,0,0,0,0,0,0,0,0,3.08985813964522e-06,1,0.000120434158355321,0.36,"EGM1","deg_hill-2_glc"
"4862","EGM2",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,9.34324451106136e-08,9.34303743916874e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,3.15843508042482e-07,1.61217974134041e-13,8.31284303561564e-18,2.07071892620946e-12,0,0,0,0,0,3.19390687207358e-06,0,0,0,0,1,0.000120434158355321,0.36,"EGM2","deg_hill-2_glc"
"4863","EGM3",0.000669078657529559,0.00110488197017359,9.39900789201457e-09,9.34324451106136e-08,9.34303743916874e-08,2.07071892620946e-12,1.24351736100432e-13,7.3925294533236e-12,3.14433779124942e-17,1.11274479667253e-12,1.35893829006337e-06,8.31284303561564e-18,2.07071892620946e-12,0,0,0,0,0,0,9.48470867027641e-05,0,0,0,1,0.000120434158355321,0.36,"EGM3","deg_hill-2_glc"
"4864","EGM4",0.000669078657529559,0.000371380886701861,0.000371359227611787,8.18169113719416e-08,1.83153871988306e-12,4.05928148746104e-17,1.24351736100432e-13,2.48483025106618e-12,1.24234266735854e-12,9.74408218699215e-13,3.16039579087754e-18,1.62958716489901e-22,4.05928148746104e-17,8.18150797926289e-08,0,0,0,0,0,0,0,0,0,1,0.000120434158355321,0.36,"EGM4","deg_hill-2_glc"
