name,matrix_type,kdeg_max,medium,parameter_set
ecoli,deg,124.3,2,default
arch,deg,124.3,2,archaea
arch2,deg,248.6,2,default
glc,deg,21,2,activities
gly,deg,21,1,activities
succ,deg,21,0,activities
LB,deg,21,5,activities
glcAA,deg,21,4,activities
glyAA,deg,21,3,activities
mito,deg_mito,124.3,2,default
ecoli,deg_hill-2,210.4,2,default
arch,deg_hill-2,210.4,2,archaea
arch2,deg_hill-2,420.8,2,default
glc,deg_hill-2,36,2,activities
gly,deg_hill-2,36,1,activities
succ,deg_hill-2,36,0,activities
LB,deg_hill-2,36,5,activities
glcAA,deg_hill-2,36,4,activities
glyAA,deg_hill-2,36,3,activities
mito,deg_hill_mito-2,210.4,2,default
ecoli,deg_hill-6,619.4,2,default
arch,deg_hill-6,619.4,2,archaea
arch2,deg_hill-6,1238.8,2,default
glc,deg_hill-6,112.5,2,activities
gly,deg_hill-6,112.5,1,activities
succ,deg_hill-6,112.5,0,activities
LB,deg_hill-6,112.5,5,activities
glcAA,deg_hill-6,112.5,4,activities
glyAA,deg_hill-6,112.5,3,activities
mito,deg_hill_mito-6,619.4,2,default
glc2,deg_hill-6,41.1,2,activities2
gly2,deg_hill-6,41.1,1,activities2
succ2,deg_hill-6,41.1,0,activities2
LB2,deg_hill-6,41.1,5,activities2
glcAA2,deg_hill-6,41.1,4,activities2
glyAA2,deg_hill-6,41.1,3,activities2
standard,RBA,0,2,default
reverse,RBA,0,2,rna_expensive
